feature,importance
pm2_5_nowcast,117409151.71117194
pm10_nowcast,79856390.64261355
pm2_5_nowcast_lag_1h,76371764.7156512
pm2_5_nowcast_ma_6h,2100128.953394547
no2_ppb,1252363.7622697502
pm2_5_pm10_ratio,958137.4183178097
traffic_index,617286.8941690624
so2_ppb,386712.6364430934
pm10_nowcast_lag_1h,43139.530856728554
co_ppm_8hr_avg,18913.869408369064
no2_ppb_lag_1h,18677.718891441822
co_ppm_8hr_avg_lag_1h,16757.021352916956
hour_sin,14017.724294811487
pm10_nowcast_ma_6h,13284.392373546958
no2_ppb_ma_6h,11694.179573103786
hour_cos,4431.01253451407
hour,4135.062172591686
season,2995.1774487644434
day_of_week_sin,2748.2837143540382
day_of_week_cos,2492.5834453105927
is_weekend,45.023890018463135
is_rush_hour,32.40903067588806
