feature,importance
pm2_5_nowcast,120157731.65967241
pm10_nowcast,81739802.7976262
pm2_5_nowcast_lag_1h,78141388.35369323
pm2_5_nowcast_ma_6h,1941692.8841080368
no2_ppb,1876170.2257350236
pm2_5_pm10_ratio,1134308.0808089525
so2_ppb,405136.0121255517
traffic_index,68408.2297859788
pm10_nowcast_lag_1h,23024.658057391644
co_ppm_8hr_avg,19019.39036859572
co_ppm_8hr_avg_lag_1h,17495.88120369613
no2_ppb_lag_1h,17253.445859164
pm10_nowcast_ma_6h,15231.616554439068
hour_sin,14346.285166308284
no2_ppb_ma_6h,9178.49686320126
season,6218.989090383053
hour_cos,3579.1508355140686
hour,3181.70409566164
day_of_week_sin,2309.783889055252
day_of_week_cos,2100.917598992586
is_rush_hour,183.49207592010498
is_weekend,90.58496952056885
