feature,importance
pm2_5_nowcast,0.9982467453007633
pm10_nowcast,0.0010483323726828762
pm2_5_pm10_ratio,0.00023085326289760074
pm10_nowcast_lag_1h,0.00010122459220976586
pm10_nowcast_ma_6h,5.71825770726206e-05
co_ppm_8hr_avg,5.226526280828096e-05
co_ppm_8hr_avg_lag_1h,4.8746939601812456e-05
traffic_index,4.562125838084753e-05
no2_ppb,4.2960798878628996e-05
no2_ppb_lag_1h,4.2831781422412654e-05
so2_ppb,3.447027188204261e-05
no2_ppb_ma_6h,1.4877128984370097e-05
hour_cos,7.660493380326736e-06
pm2_5_nowcast_lag_1h,6.518389996935656e-06
hour_sin,5.215737394512675e-06
pm2_5_nowcast_ma_6h,4.97534902374417e-06
hour,2.766707126742172e-06
season,2.658906525671678e-06
day_of_week_sin,2.019380235483233e-06
day_of_week_cos,1.5413531939383635e-06
is_rush_hour,3.5186471121938965e-07
is_weekend,1.8027082703939671e-07
