feature,importance
pm2_5_nowcast,120712283.25798856
pm10_nowcast,82390519.0351395
pm2_5_nowcast_lag_1h,78441281.17836249
pm2_5_nowcast_ma_6h,2007779.5945165157
no2_ppb,1781789.4693502486
pm2_5_pm10_ratio,1159954.0460002422
so2_ppb,263201.77343928814
traffic_index,86759.02860039473
pm10_nowcast_lag_1h,22591.763362258673
co_ppm_8hr_avg_lag_1h,16086.499161183834
pm10_nowcast_ma_6h,15660.630971699953
co_ppm_8hr_avg,15058.824692875147
no2_ppb_lag_1h,14325.494264036417
hour_sin,11986.070849508047
no2_ppb_ma_6h,8465.074995040894
hour_cos,5755.264415025711
hour,3744.775916799903
day_of_week_sin,2576.6119364202023
day_of_week_cos,2372.4247617423534
season,1878.2767012119293
is_rush_hour,61.80391979217529
is_weekend,0.0
