feature,importance
pm2_5_nowcast,0.3537007
pm2_5_nowcast_lag_1h,0.336072
pm10_nowcast,0.20743997
pm2_5_nowcast_ma_6h,0.0791116
traffic_index,0.008428243
pm2_5_pm10_ratio,0.005646884
no2_ppb,0.004044167
pm10_nowcast_lag_1h,0.0015404396
so2_ppb,0.0011001036
hour_sin,0.00056625967
season,0.0005148597
co_ppm_8hr_avg,0.00036494082
co_ppm_8hr_avg_lag_1h,0.00029503836
hour,0.0002831185
no2_ppb_lag_1h,0.00022543507
day_of_week_cos,0.00016569707
hour_cos,0.00014736732
is_rush_hour,0.000112790374
no2_ppb_ma_6h,0.00010066522
pm10_nowcast_ma_6h,7.545451e-05
is_weekend,4.4468667e-05
day_of_week_sin,1.9696896e-05
