feature,importance
pm2_5_nowcast,0.35753772
pm2_5_nowcast_lag_1h,0.34465384
pm10_nowcast,0.19679026
pm2_5_nowcast_ma_6h,0.07429199
traffic_index,0.012050905
pm2_5_pm10_ratio,0.0055538635
pm10_nowcast_lag_1h,0.0022087675
no2_ppb,0.0019065047
season,0.0011577257
so2_ppb,0.0010170003
hour_sin,0.00069448183
hour,0.00044044884
co_ppm_8hr_avg_lag_1h,0.00039668503
co_ppm_8hr_avg,0.00032139156
no2_ppb_lag_1h,0.00026421616
hour_cos,0.0001474701
day_of_week_cos,0.00013555169
pm10_nowcast_ma_6h,0.00011521364
is_weekend,0.00011346458
no2_ppb_ma_6h,9.077092e-05
is_rush_hour,7.750965e-05
day_of_week_sin,3.4267894e-05
