datetime,aqi_forecast,forecast_type
2025-12-06 22:00:00+00:00,167.22865,3_day_forecast
2025-12-06 23:00:00+00:00,165.48186,3_day_forecast
2025-12-07 00:00:00+00:00,166.62999,3_day_forecast
2025-12-07 01:00:00+00:00,163.95865,3_day_forecast
2025-12-07 02:00:00+00:00,161.86525,3_day_forecast
2025-12-07 03:00:00+00:00,161.1337,3_day_forecast
2025-12-07 04:00:00+00:00,162.44267,3_day_forecast
2025-12-07 05:00:00+00:00,161.89493,3_day_forecast
2025-12-07 06:00:00+00:00,165.61617,3_day_forecast
2025-12-07 07:00:00+00:00,173.64185,3_day_forecast
2025-12-07 08:00:00+00:00,173.62895,3_day_forecast
2025-12-07 09:00:00+00:00,165.40976,3_day_forecast
2025-12-07 10:00:00+00:00,166.59352,3_day_forecast
2025-12-07 11:00:00+00:00,167.61612,3_day_forecast
2025-12-07 12:00:00+00:00,166.18858,3_day_forecast
2025-12-07 13:00:00+00:00,166.45088,3_day_forecast
2025-12-07 14:00:00+00:00,166.58954,3_day_forecast
2025-12-07 15:00:00+00:00,166.02591,3_day_forecast
2025-12-07 16:00:00+00:00,166.12738,3_day_forecast
2025-12-07 17:00:00+00:00,173.49573,3_day_forecast
2025-12-07 18:00:00+00:00,173.7898,3_day_forecast
2025-12-07 19:00:00+00:00,165.96935,3_day_forecast
2025-12-07 20:00:00+00:00,166.62813,3_day_forecast
2025-12-07 21:00:00+00:00,166.57701,3_day_forecast
2025-12-07 22:00:00+00:00,166.59537,3_day_forecast
2025-12-07 23:00:00+00:00,167.72604,3_day_forecast
2025-12-08 00:00:00+00:00,169.3165,3_day_forecast
2025-12-08 01:00:00+00:00,169.9138,3_day_forecast
2025-12-08 02:00:00+00:00,165.50441,3_day_forecast
2025-12-08 03:00:00+00:00,166.73053,3_day_forecast
2025-12-08 04:00:00+00:00,166.07535,3_day_forecast
2025-12-08 05:00:00+00:00,165.12561,3_day_forecast
2025-12-08 06:00:00+00:00,169.31062,3_day_forecast
2025-12-08 07:00:00+00:00,173.42111,3_day_forecast
2025-12-08 08:00:00+00:00,173.83449,3_day_forecast
2025-12-08 09:00:00+00:00,169.12384,3_day_forecast
2025-12-08 10:00:00+00:00,170.26744,3_day_forecast
2025-12-08 11:00:00+00:00,170.86569,3_day_forecast
2025-12-08 12:00:00+00:00,168.72595,3_day_forecast
2025-12-08 13:00:00+00:00,167.59482,3_day_forecast
2025-12-08 14:00:00+00:00,170.75058,3_day_forecast
2025-12-08 15:00:00+00:00,170.85469,3_day_forecast
2025-12-08 16:00:00+00:00,168.24988,3_day_forecast
2025-12-08 17:00:00+00:00,176.29024,3_day_forecast
2025-12-08 18:00:00+00:00,178.27779,3_day_forecast
2025-12-08 19:00:00+00:00,169.20413,3_day_forecast
2025-12-08 20:00:00+00:00,168.88222,3_day_forecast
2025-12-08 21:00:00+00:00,169.97449,3_day_forecast
2025-12-08 22:00:00+00:00,169.12596,3_day_forecast
2025-12-08 23:00:00+00:00,169.88518,3_day_forecast
2025-12-09 00:00:00+00:00,169.18022,3_day_forecast
2025-12-09 01:00:00+00:00,172.01428,3_day_forecast
2025-12-09 02:00:00+00:00,164.49815,3_day_forecast
2025-12-09 03:00:00+00:00,165.37894,3_day_forecast
2025-12-09 04:00:00+00:00,166.01518,3_day_forecast
2025-12-09 05:00:00+00:00,164.35956,3_day_forecast
2025-12-09 06:00:00+00:00,169.84927,3_day_forecast
2025-12-09 07:00:00+00:00,174.57956,3_day_forecast
2025-12-09 08:00:00+00:00,176.06378,3_day_forecast
2025-12-09 09:00:00+00:00,170.55643,3_day_forecast
2025-12-09 10:00:00+00:00,170.15979,3_day_forecast
2025-12-09 11:00:00+00:00,170.14711,3_day_forecast
2025-12-09 12:00:00+00:00,167.67278,3_day_forecast
2025-12-09 13:00:00+00:00,169.8713,3_day_forecast
2025-12-09 14:00:00+00:00,169.98248,3_day_forecast
2025-12-09 15:00:00+00:00,168.72292,3_day_forecast
2025-12-09 16:00:00+00:00,168.65465,3_day_forecast
2025-12-09 17:00:00+00:00,175.3501,3_day_forecast
2025-12-09 18:00:00+00:00,175.35384,3_day_forecast
2025-12-09 19:00:00+00:00,169.02037,3_day_forecast
2025-12-09 20:00:00+00:00,169.53143,3_day_forecast
2025-12-09 21:00:00+00:00,168.99683,3_day_forecast
