feature,importance
pm2_5_nowcast,119079682.98989804
pm10_nowcast,80833562.08999565
pm2_5_nowcast_lag_1h,77569527.51227036
pm2_5_nowcast_ma_6h,2062297.506368786
no2_ppb,1225934.2451539934
pm2_5_pm10_ratio,1109724.1516350806
traffic_index,649673.4013220072
so2_ppb,399728.4042352438
pm10_nowcast_ma_6h,22057.16072255373
pm10_nowcast_lag_1h,18547.382433369756
co_ppm_8hr_avg_lag_1h,18279.784046322107
no2_ppb_lag_1h,17552.260996311903
co_ppm_8hr_avg,14333.37437851727
no2_ppb_ma_6h,14316.953618064523
hour_sin,13944.607935488224
hour_cos,4980.152640610933
hour,4064.2669160068035
season,2536.914243131876
day_of_week_sin,2154.879547715187
day_of_week_cos,1720.852993234992
is_rush_hour,128.03790068626404
is_weekend,79.12022864818573
