feature,importance
pm2_5_nowcast,122945615.62778787
pm10_nowcast,83874079.17329608
pm2_5_nowcast_lag_1h,80173424.18699518
pm2_5_nowcast_ma_6h,2131208.119746834
no2_ppb,1175070.7088403702
pm2_5_pm10_ratio,1020959.4906463176
traffic_index,675305.8472602814
so2_ppb,292944.69518104196
pm10_nowcast_lag_1h,32024.334089830518
pm10_nowcast_ma_6h,19632.6326841861
co_ppm_8hr_avg,19338.977169677615
no2_ppb_lag_1h,18620.759898751974
co_ppm_8hr_avg_lag_1h,17434.880923718214
hour_sin,13627.287649527192
no2_ppb_ma_6h,13142.05359043181
hour_cos,5371.38164909184
day_of_week_cos,3595.5818554013968
hour,3398.1121939122677
day_of_week_sin,2721.4930081367493
season,2349.02375125885
is_rush_hour,97.56490135192871
is_weekend,30.834120273590088
