feature,importance
pm2_5_nowcast_lag_1h,0.3727454
pm2_5_nowcast,0.34906366
pm10_nowcast,0.17784432
pm2_5_nowcast_ma_6h,0.073042594
traffic_index,0.013009812
pm2_5_pm10_ratio,0.005770447
pm10_nowcast_lag_1h,0.002757809
no2_ppb,0.0018643569
so2_ppb,0.0010511613
season,0.00043958696
hour,0.00041910046
hour_sin,0.00038376445
co_ppm_8hr_avg,0.0003454829
is_rush_hour,0.0003156363
no2_ppb_lag_1h,0.00023412873
co_ppm_8hr_avg_lag_1h,0.0001937023
pm10_nowcast_ma_6h,0.00017893438
hour_cos,0.00012379838
no2_ppb_ma_6h,9.079089e-05
day_of_week_cos,6.77968e-05
day_of_week_sin,4.1086674e-05
is_weekend,1.6667205e-05
