feature,importance
pm2_5_nowcast,120544587.49267283
pm10_nowcast,82277701.46964353
pm2_5_nowcast_lag_1h,78170255.57706228
pm2_5_nowcast_ma_6h,2105485.7754314393
no2_ppb,1173188.643350467
pm2_5_pm10_ratio,1086339.9240137488
traffic_index,714970.1323685944
so2_ppb,405308.2317788303
pm10_nowcast_lag_1h,36444.178872302175
pm10_nowcast_ma_6h,21792.235544130206
co_ppm_8hr_avg,17721.617977008224
no2_ppb_lag_1h,17685.652529761195
hour_sin,14093.412313222885
co_ppm_8hr_avg_lag_1h,11829.645709067583
no2_ppb_ma_6h,10132.542673528194
hour_cos,6379.875052168965
hour,3700.1791056096554
season,3462.5958453714848
day_of_week_cos,2071.7840704619884
day_of_week_sin,1937.9683783948421
is_rush_hour,69.66020011901855
is_weekend,0.0
