feature,importance
pm2_5_nowcast,121349749.05320486
pm10_nowcast,82650739.36347531
pm2_5_nowcast_lag_1h,78938898.28451093
pm2_5_nowcast_ma_6h,2026121.4286049455
no2_ppb,1220900.077184409
pm2_5_pm10_ratio,1184991.250733897
traffic_index,599026.3648639768
so2_ppb,423267.79278355837
pm10_nowcast_lag_1h,31699.205644980073
pm10_nowcast_ma_6h,22171.48567545414
no2_ppb_lag_1h,18870.98943941295
co_ppm_8hr_avg_lag_1h,18688.971596583724
co_ppm_8hr_avg,17727.947178453207
hour_sin,12502.23872371018
no2_ppb_ma_6h,10464.516741260886
hour,4215.226357102394
hour_cos,4116.830839306116
season,4028.718225300312
day_of_week_cos,3900.7751611471176
day_of_week_sin,2957.3360396027565
is_weekend,70.07679915428162
is_rush_hour,57.0743293762207
