pm2_5_nowcast,pm10_nowcast,co_ppm_8hr_avg,no2_ppb,so2_ppb,pm2_5_pm10_ratio,traffic_index,hour,is_rush_hour,is_weekend,season,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos,pm2_5_nowcast_lag_1h,pm10_nowcast_lag_1h,co_ppm_8hr_avg_lag_1h,no2_ppb_lag_1h,pm2_5_nowcast_ma_6h,pm10_nowcast_ma_6h,no2_ppb_ma_6h
-54.49423,-9.714618,-0.0030039528,-0.49030384,-0.27195224,-2.106583,-0.2520668,-0.011678016,0.0026347775,-0.0048997016,-0.0030810956,0.016361319,0.021482084,0.013687091,-0.028697247,-14.3232155,0.045452897,0.09175239,0.06971091,-2.6094155,-0.067562014,0.015324879
-54.48273,-9.69641,0.03266643,-0.4887354,-0.27213964,-2.1067395,-0.23295455,-0.008123713,0.002605754,-0.0042804223,-0.002810018,0.008112817,0.009611736,0.011357595,-0.03151558,-14.325156,0.03443377,0.09968622,0.06685975,-2.6067166,-0.06893275,0.012423753
-54.40086,-9.645423,0.010838651,-0.47822198,-0.27971977,-2.1012125,-0.21349737,0.036487166,0.002777189,-0.0027098446,0.0017251896,0.003038072,0.020594718,0.0052210554,-0.026118856,-14.354619,0.0438092,0.09431489,0.062240683,-2.6997821,-0.07670979,-0.0039469167
-53.82116,-9.430923,0.0152269285,-0.50846153,-0.24790041,-2.0758219,-0.20784983,0.03932863,0.0036015057,-0.0014637455,-5.956787e-05,0.05939073,0.027696086,0.014802839,-0.022214264,-14.325987,0.06377032,0.115405016,0.0730209,-2.8312614,-0.06372498,0.002671629
-53.678806,-9.367862,0.020598358,-0.48901853,-0.2544109,-2.1631932,-0.19976828,0.048138488,0.0047342107,-0.00074748206,-0.0032127805,0.06787302,0.007529371,0.01929664,-0.030928163,-14.3816805,0.048856128,0.112481885,0.07057147,-2.870903,-0.08548207,-0.01859478
-53.77846,-9.342317,0.017747544,-0.48728934,-0.24932101,-2.1563823,-0.21449058,0.041203823,0.002880925,-0.0019785936,-0.008402417,-0.0056582056,-0.0052690036,0.0019441394,-0.026552103,-13.902518,0.051853,0.11253325,0.06689246,-2.7169104,-0.10280227,-0.0101284655
-53.273544,-9.216285,0.012775641,-0.4884582,-0.2747071,-2.1368756,-0.2185727,0.045396123,-0.0055732643,-0.0024897675,-0.0071236817,0.036376473,-0.005298879,0.007057097,-0.018255752,-13.897598,0.04602174,0.10257163,0.061046135,-2.7495785,-0.12025738,-0.003905643
-52.828182,-9.177082,-0.0033968426,-0.49140465,-0.2556636,-2.135119,-0.21515615,0.046565957,-0.0058196993,-0.0021447334,-0.0067637144,0.053221576,0.0046180347,0.0042697666,-0.01362963,-13.914862,0.015090242,0.0999678,0.06717234,-2.618037,-0.09706126,0.0032131944
-52.60412,-9.149861,-0.0076180957,-0.4878849,-0.25490502,-2.1245012,-0.22907974,0.045040846,-0.00573208,-0.0026777806,-0.0063676303,0.014827988,-0.010215843,0.0014865857,-0.021502955,-13.876031,0.026689582,0.09617667,0.063000195,-2.6434274,-0.07501701,-0.015717916
-51.964314,-9.132353,-0.0018957622,-0.48623088,-0.23835123,-2.141097,-0.21722887,0.039636925,0.0071229073,-0.0014009118,-0.0031771208,0.028436821,-0.019247605,0.0075310036,-0.027030999,-13.672838,0.019162849,0.08497168,0.07542415,-2.647529,-0.12206333,0.006546631
-52.014965,-9.116021,0.025763724,-0.5113822,-0.24791044,-2.1206706,-0.24928263,0.029213997,0.003750864,-0.00071728375,-0.0072943256,0.031368863,-0.044257127,0.006873492,-0.013704401,-13.616946,0.019096825,0.082506366,0.061567314,-2.6560965,0.03741767,0.09220965
-52.02805,-9.16176,0.010879386,-0.54210144,-0.24731097,-2.1195307,-0.23403056,-0.073270276,0.0023595067,-0.0006319048,-0.0026348878,0.044636313,-0.09256354,0.0056110397,-0.013039287,-13.436604,0.018401783,0.083085775,0.15868351,-2.609272,0.02841846,-0.0051316884
-52.56066,-9.185851,0.03834523,-0.5202236,-0.24974467,-2.1911297,-0.26066348,-0.07287047,0.0050608832,-0.0020281265,-0.008345824,0.035270315,-0.05016042,0.010929113,-0.031013781,-13.422402,0.021128913,0.07766683,0.18749924,-2.6068685,0.008169267,-0.061473664
-52.787758,-9.332371,0.045852892,-0.524384,-0.23001026,-2.258419,-0.24895439,-0.070880786,0.0054654595,-0.0023542906,-0.011356816,0.020987947,-0.030750956,0.012234695,-0.034926206,-13.4387245,0.034699902,0.08335149,0.17692637,-2.5414524,0.0064702006,0.001166037
-53.760384,-9.5736065,0.056640144,-0.5250149,-0.2616236,-2.2372427,-0.23505755,-0.068797976,0.0038979147,-0.0014692462,-0.0036652696,-0.013890877,0.00120358,0.009447031,-0.026968772,-13.848991,0.029315377,0.08555248,0.18021367,-2.4455807,-0.023043387,0.015193051
-54.56311,-9.83006,0.039260704,-0.531705,-0.2510777,-2.2036743,-0.20558277,-0.07218,0.0023151606,-0.0017975012,-0.005279186,-0.01354477,0.015113489,0.008917061,-0.019174514,-13.686159,0.010190816,0.100884356,0.13653517,-2.3645103,-0.14765792,0.027006088
-55.25758,-9.997624,0.052623197,-0.52486473,-0.27495414,-2.2161343,-0.13016124,-0.06992062,-0.0070703765,-0.0023177585,-0.0010189541,-0.09371689,-0.005361621,0.0036009634,-0.03202454,-14.161692,0.028183313,0.08742717,0.14215405,-2.3696227,-0.20439574,0.016241813
-55.80914,-10.150877,0.035933893,-0.4902806,-0.25837472,-2.1946862,-0.102225274,-0.07799292,-0.008423856,-0.0012573622,0.0036420666,-0.105200335,0.005535226,0.0047415984,-0.023119817,-14.522114,0.022627026,0.1047105,0.20686531,-2.5311136,-0.1524136,0.019245889
-56.230953,-10.292124,-0.02717255,-0.5442515,-0.24729674,-2.184154,-0.3136735,-0.116047665,-0.0052047754,-0.0038340124,0.0017260154,-0.12358819,-0.011436814,0.0032759446,-0.056094114,-14.798216,0.006232111,0.09175267,0.09840569,-2.6306593,-0.14247723,-0.007025175
-56.27133,-10.357767,-0.0677675,-0.55737096,-0.31048378,-2.0328357,-0.33403668,-0.03403417,-0.004598645,-0.0031337151,-0.004850877,-0.02994569,0.047619782,0.0048399824,-0.060484737,-14.928455,-0.0007022876,0.09005367,0.088150226,-2.5723476,-0.1315,-0.13468358
-56.412148,-10.352377,-0.060545277,-0.5501463,-0.2635294,-2.0326202,-0.3228178,0.0053301,-0.0035992065,-0.0021852183,-0.005099754,-0.012004317,0.041850604,0.0031183546,-0.037255444,-14.955332,-0.002319392,0.097126,0.09425509,-2.574507,-0.11234718,0.08158643
-56.37637,-10.243452,-0.029741723,-0.55417997,-0.25293133,-2.0073886,-0.26452944,-0.017103866,-0.0040135896,0.004113092,-0.0036977034,0.009391882,0.030471856,-0.017433593,-0.043694623,-14.959304,-0.0052677183,0.09183692,0.09725681,-2.568118,-0.086069755,0.06496101
-55.646328,-10.206345,-0.021336539,-0.50292623,-0.24819024,-2.0133657,-0.18687148,0.090240665,0.004595614,0.0036881184,-0.0036758918,0.012186783,0.04324718,0.0038150141,-0.031860635,-15.012587,0.019036535,0.08875617,0.08729739,-2.604385,-0.07975861,0.04310726
-54.778393,-10.03092,-0.007226928,-0.471528,-0.23987572,-1.9959751,-0.18210104,0.0934259,0.005302317,0.008172185,-0.0020135008,0.008025491,0.04183835,0.010386054,-0.007068461,-14.689482,0.051459778,0.09831491,0.03250328,-2.4598432,-0.08786945,0.04112149
-53.72602,-9.884805,-0.014450292,-0.4616493,-0.23136385,-1.9971268,-0.17134428,-0.0004771933,0.0032216224,0.0064830105,-0.0055551934,0.0073433905,0.02819073,0.02966373,-0.0014352833,-14.4072895,0.05485996,0.098847024,0.032693196,-2.4597135,-0.039289247,0.019157028
-53.119804,-9.890633,-0.004329,-0.46125212,-0.24353458,-1.9845095,-0.19077866,-0.013695801,0.0022430816,0.0063165952,-0.0053822193,0.009191859,0.021835878,0.025934577,5.142161e-05,-14.266802,0.050908435,0.100302994,0.016581876,-2.5195076,-0.027124623,-0.0070831263
-53.205147,-9.70383,-0.0032974023,-0.4659758,-0.23612948,-1.9958583,-0.18604763,0.0383088,0.0031660066,0.0075211735,-0.0069253673,0.036962423,0.030296793,0.027136616,1.102305e-05,-13.826288,0.041496754,0.09733279,0.060980614,-2.7397604,-0.05537564,0.013050033
-52.753273,-9.687558,-0.0021868513,-0.457909,-0.23107508,-1.9928664,-0.18786189,0.03179522,0.0036770545,0.0064064804,-0.00516589,0.03097539,0.0178566,0.027605586,-0.0041046217,-13.8122835,0.033464845,0.09620958,0.0642743,-2.5057511,-0.04593366,0.011313532
-53.204742,-9.811677,0.0006134208,-0.4632563,-0.23432419,-1.9471627,-0.18769255,0.053376876,0.0023652774,0.0071073947,-0.00068342395,0.05897919,0.01311578,0.0380181,-0.00089017296,-13.829172,0.050367348,0.09385198,0.022572389,-2.2091217,-0.035078887,0.019867495
-53.226997,-9.818499,0.02020855,-0.4622157,-0.24249566,-1.968893,-0.1888635,0.056727603,0.0028950695,0.006383791,-0.0002793733,0.051546313,0.015896188,0.020638268,0.002870939,-13.850823,0.044854853,0.09994557,0.022785503,-2.285346,-0.0628063,0.024415523
-53.753815,-9.840743,0.01231823,-0.47549468,-0.23128185,-1.9706314,-0.19796164,0.05079499,-0.0029310647,0.0068523996,-0.00252886,0.051214863,0.0152667025,0.017492918,0.00016068121,-13.907354,0.048307993,0.09152331,0.03173064,-2.3513958,-0.066194825,0.02765029
-53.788322,-9.872139,0.0079992255,-0.46960095,-0.23738916,-1.9788584,-0.20336787,0.06369783,-0.0028899335,0.007239333,-0.0043017105,0.053430002,0.010063551,0.016691,-0.0018360312,-13.909307,0.048127037,0.09139255,0.021343192,-2.3512456,-0.06673322,0.04143722
-53.934753,-9.923582,-0.00043092662,-0.49876642,-0.22786076,-1.9692138,-0.23352197,0.06003991,9.768595e-05,0.009238956,-0.0027855332,0.029098839,0.0045020366,0.021912333,-0.00021775074,-13.895525,0.049016703,0.08490363,0.02542011,-2.366178,-0.05868513,0.03962013
-54.425262,-10.007468,0.047304925,-0.46223095,-0.21917464,-1.9487367,-0.18662351,0.059858467,0.0018337789,0.0071952567,-0.0021522713,-0.0045934264,-0.028637797,0.02755156,-0.005583374,-14.360499,0.07658228,0.11345148,0.02343633,-2.29794,-0.037802733,0.04085888
