feature,importance
pm2_5_nowcast_lag_1h,0.37809604
pm2_5_nowcast,0.3486699
pm2_5_nowcast_ma_6h,0.16235329
pm10_nowcast,0.087475166
traffic_index,0.0118114585
pm2_5_pm10_ratio,0.004609445
no2_ppb,0.0021569
pm10_nowcast_lag_1h,0.0012814272
so2_ppb,0.0007071473
season,0.0005339069
co_ppm_8hr_avg,0.00046628492
hour,0.00041516457
no2_ppb_lag_1h,0.0003759084
co_ppm_8hr_avg_lag_1h,0.0002801369
hour_cos,0.00016707071
hour_sin,0.0001275953
day_of_week_sin,0.0001113259
day_of_week_cos,0.000101460806
no2_ppb_ma_6h,8.5668114e-05
is_weekend,8.514427e-05
pm10_nowcast_ma_6h,7.5076365e-05
is_rush_hour,1.4550552e-05
