feature,importance
pm2_5_nowcast,121198754.15405743
pm10_nowcast,82584632.61670554
pm2_5_nowcast_lag_1h,78690149.38883933
pm2_5_nowcast_ma_6h,2121957.124022603
pm2_5_pm10_ratio,1222390.603609249
no2_ppb,1221966.8173476756
traffic_index,592891.7057256252
so2_ppb,403545.1958628744
pm10_nowcast_lag_1h,32155.896967828274
pm10_nowcast_ma_6h,25723.642145708203
co_ppm_8hr_avg,21144.833032414317
co_ppm_8hr_avg_lag_1h,19991.295617327094
no2_ppb_lag_1h,19543.695906311274
no2_ppb_ma_6h,13668.61254554987
hour_sin,12213.23968629539
hour,5116.041748434305
hour_cos,4296.404022186995
day_of_week_sin,2542.3755424171686
day_of_week_cos,2473.4357096254826
season,2040.7369994819164
is_weekend,51.31584119796753
is_rush_hour,23.236432433128357
