feature,importance
pm2_5_nowcast,118279655.24022111
pm10_nowcast,80795863.08597516
pm2_5_nowcast_lag_1h,76608744.42435382
pm2_5_nowcast_ma_6h,2050291.8595157564
no2_ppb,1280801.3997914493
pm2_5_pm10_ratio,1086332.5959094465
traffic_index,570095.5779642761
so2_ppb,380858.7645009458
pm10_nowcast_lag_1h,31636.96076670289
co_ppm_8hr_avg_lag_1h,22781.916369780898
no2_ppb_lag_1h,17261.301473081112
pm10_nowcast_ma_6h,15507.80633509159
hour_sin,14194.871335566044
co_ppm_8hr_avg,12900.706371292472
no2_ppb_ma_6h,9054.103213459253
season,5659.071172475815
hour_cos,4611.403457432985
hour,4281.667228907347
day_of_week_cos,3008.094760209322
day_of_week_sin,1663.7791012227535
is_rush_hour,126.24888896942139
is_weekend,31.83244037628174
