feature,importance
pm2_5_nowcast,0.999056884385971
pm10_nowcast,0.0006273236703467821
pm2_5_pm10_ratio,0.00010901919599198934
pm10_nowcast_lag_1h,6.435595458839969e-05
pm10_nowcast_ma_6h,2.303059689491946e-05
no2_ppb_lag_1h,2.170064242827493e-05
traffic_index,2.018718020075831e-05
no2_ppb,1.4609571394343408e-05
co_ppm_8hr_avg,1.4175435910032789e-05
pm2_5_nowcast_lag_1h,1.1824346578552286e-05
co_ppm_8hr_avg_lag_1h,1.1057144588275884e-05
so2_ppb,9.30305408087362e-06
no2_ppb_ma_6h,4.684198484640867e-06
hour_cos,4.135076119778705e-06
hour,2.184906894042353e-06
pm2_5_nowcast_ma_6h,1.2295729209961788e-06
season,1.2188601712276182e-06
hour_sin,1.2134838214405566e-06
day_of_week_cos,8.373946635772836e-07
day_of_week_sin,6.463366310846683e-07
is_rush_hour,2.611553098977632e-07
is_weekend,1.1783600911925604e-07
