feature,importance
pm2_5_nowcast,122928621.1177002
pm2_5_nowcast_lag_1h,100439603.14836286
pm10_nowcast,63851872.79236828
pm2_5_nowcast_ma_6h,2008101.215232551
no2_ppb,1182770.6161807477
pm2_5_pm10_ratio,861221.8512170613
traffic_index,665120.7167266607
so2_ppb,295396.58098603785
pm10_nowcast_lag_1h,24936.467507481575
no2_ppb_lag_1h,20422.343621760607
co_ppm_8hr_avg,19058.845510020852
pm10_nowcast_ma_6h,18892.386323720217
hour_sin,14284.731302082539
co_ppm_8hr_avg_lag_1h,13950.839813679457
no2_ppb_ma_6h,9683.161777675152
hour_cos,6215.739002853632
hour,4417.571622952819
day_of_week_cos,3399.434007152915
season,2816.9635323286057
day_of_week_sin,2750.664431452751
is_weekend,21.229239463806152
is_rush_hour,12.652640104293823
