feature,importance
pm2_5_nowcast,0.9982208008692363
pm10_nowcast,0.001057991164615519
pm2_5_pm10_ratio,0.0002439043445577635
pm10_nowcast_lag_1h,0.00010275886190531973
pm10_nowcast_ma_6h,5.761609132986065e-05
co_ppm_8hr_avg,5.304681549269475e-05
co_ppm_8hr_avg_lag_1h,4.915619400143142e-05
no2_ppb,4.811645563719894e-05
traffic_index,4.286192189276379e-05
no2_ppb_lag_1h,3.950812011360166e-05
so2_ppb,3.4525123211261756e-05
no2_ppb_ma_6h,1.4885779407389171e-05
hour_cos,8.212990708187647e-06
pm2_5_nowcast_lag_1h,7.041319436288644e-06
hour_sin,5.2193392721730695e-06
pm2_5_nowcast_ma_6h,4.830641126773399e-06
hour,2.636107651192009e-06
season,2.47392409956303e-06
day_of_week_sin,2.122224419473856e-06
day_of_week_cos,1.977115004728537e-06
is_weekend,1.5881032132926312e-07
is_rush_hour,1.557865592982422e-07
