feature,importance
pm2_5_nowcast,0.9946684213319126
pm10_nowcast,0.0029503813229661215
pm10_nowcast_lag_1h,0.000944518059680266
co_ppm_8hr_avg,0.0006189489932248953
co_ppm_8hr_avg_lag_1h,0.0003468924938470581
pm2_5_nowcast_lag_1h,0.00022569442011627429
pm2_5_pm10_ratio,8.502242757882878e-05
traffic_index,3.44391772352519e-05
no2_ppb_lag_1h,3.138601032401857e-05
no2_ppb,2.261615719974492e-05
no2_ppb_ma_6h,2.1099068295133718e-05
so2_ppb,2.050314926817503e-05
pm10_nowcast_ma_6h,1.2309933179115158e-05
hour_cos,8.291929339460426e-06
pm2_5_nowcast_ma_6h,4.352859099648098e-06
hour,1.5012931216641495e-06
is_rush_hour,1.2427010804617633e-06
hour_sin,1.072401925370527e-06
day_of_week_sin,6.542058023275687e-07
day_of_week_cos,3.13332000314994e-07
season,1.757901800109606e-07
is_weekend,1.6294262331718214e-07
