feature,importance
pm2_5_nowcast,0.9990683658932914
pm10_nowcast,0.0006300925078462084
pm2_5_pm10_ratio,9.935092113033043e-05
pm10_nowcast_lag_1h,6.514913294799022e-05
no2_ppb_lag_1h,2.2159180251054265e-05
pm10_nowcast_ma_6h,1.9614319896681666e-05
traffic_index,1.8073075633138293e-05
no2_ppb,1.6004165827857655e-05
co_ppm_8hr_avg,1.2668252433469874e-05
pm2_5_nowcast_lag_1h,1.0592111840354695e-05
co_ppm_8hr_avg_lag_1h,9.801992884245493e-06
so2_ppb,9.016949678620973e-06
hour_cos,4.809177712114546e-06
no2_ppb_ma_6h,4.706001468796241e-06
hour,2.180846388508809e-06
season,2.16636924782954e-06
pm2_5_nowcast_ma_6h,1.7822774592642941e-06
hour_sin,1.1458364170523701e-06
day_of_week_cos,9.291116855033114e-07
day_of_week_sin,8.195423597377243e-07
is_rush_hour,4.1984343634305136e-07
is_weekend,1.5249016351752606e-07
