datetime,aqi_forecast,forecast_type
2025-12-11 21:00:00+00:00,94.85955076033969,3_day_forecast
2025-12-11 22:00:00+00:00,94.85139686708852,3_day_forecast
2025-12-11 23:00:00+00:00,94.92623088851265,3_day_forecast
2025-12-12 00:00:00+00:00,124.49698706996827,3_day_forecast
2025-12-12 01:00:00+00:00,124.4982318949362,3_day_forecast
2025-12-12 02:00:00+00:00,94.07509402248405,3_day_forecast
2025-12-12 03:00:00+00:00,91.91755435034214,3_day_forecast
2025-12-12 04:00:00+00:00,95.37281751156175,3_day_forecast
2025-12-12 05:00:00+00:00,81.02766266127087,3_day_forecast
2025-12-12 06:00:00+00:00,94.99827529212962,3_day_forecast
2025-12-12 07:00:00+00:00,95.02386086797314,3_day_forecast
2025-12-12 08:00:00+00:00,95.20290627178592,3_day_forecast
2025-12-12 09:00:00+00:00,91.0264933351963,3_day_forecast
2025-12-12 10:00:00+00:00,95.3116281692446,3_day_forecast
2025-12-12 11:00:00+00:00,95.2821520694929,3_day_forecast
2025-12-12 12:00:00+00:00,95.26958020096528,3_day_forecast
2025-12-12 13:00:00+00:00,95.29245932179673,3_day_forecast
2025-12-12 14:00:00+00:00,95.33973768868655,3_day_forecast
2025-12-12 15:00:00+00:00,95.33523226067265,3_day_forecast
2025-12-12 16:00:00+00:00,95.21724748167978,3_day_forecast
2025-12-12 17:00:00+00:00,95.39134394928102,3_day_forecast
2025-12-12 18:00:00+00:00,95.31712434716563,3_day_forecast
2025-12-12 19:00:00+00:00,95.3916752443067,3_day_forecast
2025-12-12 20:00:00+00:00,84.67432389214197,3_day_forecast
2025-12-12 21:00:00+00:00,95.34466135980009,3_day_forecast
2025-12-12 22:00:00+00:00,95.33650746654892,3_day_forecast
2025-12-12 23:00:00+00:00,95.3166556086607,3_day_forecast
2025-12-13 00:00:00+00:00,124.61262572890465,3_day_forecast
2025-12-13 01:00:00+00:00,124.61387055387257,3_day_forecast
2025-12-13 02:00:00+00:00,75.26737861867373,3_day_forecast
2025-12-13 03:00:00+00:00,91.53878576434134,3_day_forecast
2025-12-13 04:00:00+00:00,70.1998957847366,3_day_forecast
2025-12-13 05:00:00+00:00,94.19411491885491,3_day_forecast
2025-12-13 06:00:00+00:00,95.35043539492203,3_day_forecast
2025-12-13 07:00:00+00:00,95.37602097076555,3_day_forecast
2025-12-13 08:00:00+00:00,95.55506637457833,3_day_forecast
2025-12-13 09:00:00+00:00,95.6183298556932,3_day_forecast
2025-12-13 10:00:00+00:00,95.66378827203701,3_day_forecast
2025-12-13 11:00:00+00:00,93.56086316703745,3_day_forecast
2025-12-13 12:00:00+00:00,95.62174030375769,3_day_forecast
2025-12-13 13:00:00+00:00,80.26844369075387,3_day_forecast
2025-12-13 14:00:00+00:00,95.64935301326523,3_day_forecast
2025-12-13 15:00:00+00:00,93.88102616717637,3_day_forecast
2025-12-13 16:00:00+00:00,95.78787837288885,3_day_forecast
2025-12-13 17:00:00+00:00,95.74955371850133,3_day_forecast
2025-12-13 18:00:00+00:00,95.18851285421034,3_day_forecast
2025-12-13 19:00:00+00:00,80.98976528861108,3_day_forecast
2025-12-13 20:00:00+00:00,73.30312713835458,3_day_forecast
2025-12-13 21:00:00+00:00,95.7028711290204,3_day_forecast
2025-12-13 22:00:00+00:00,95.68866756934133,3_day_forecast
2025-12-13 23:00:00+00:00,91.91896476315735,3_day_forecast
2025-12-14 00:00:00+00:00,124.51904876473576,3_day_forecast
2025-12-14 01:00:00+00:00,124.51441854131518,3_day_forecast
2025-12-14 02:00:00+00:00,90.14658360652761,3_day_forecast
2025-12-14 03:00:00+00:00,71.33512342695929,3_day_forecast
2025-12-14 04:00:00+00:00,73.38066212480616,3_day_forecast
2025-12-14 05:00:00+00:00,95.56914484445593,3_day_forecast
2025-12-14 06:00:00+00:00,88.62560380432302,3_day_forecast
2025-12-14 07:00:00+00:00,95.42520594211206,3_day_forecast
2025-12-14 08:00:00+00:00,95.60425134592484,3_day_forecast
2025-12-14 09:00:00+00:00,95.66751482703971,3_day_forecast
2025-12-14 10:00:00+00:00,95.71297324338352,3_day_forecast
2025-12-14 11:00:00+00:00,95.68349714363181,3_day_forecast
2025-12-14 12:00:00+00:00,95.6709252751042,3_day_forecast
2025-12-14 13:00:00+00:00,83.28486754705806,3_day_forecast
2025-12-14 14:00:00+00:00,88.91604552982422,3_day_forecast
2025-12-14 15:00:00+00:00,68.62403953214121,3_day_forecast
2025-12-14 16:00:00+00:00,79.83745063995296,3_day_forecast
2025-12-14 17:00:00+00:00,94.99643761573894,3_day_forecast
2025-12-14 18:00:00+00:00,95.57579986833402,3_day_forecast
2025-12-14 19:00:00+00:00,84.67355602313195,3_day_forecast
2025-12-14 20:00:00+00:00,84.5478631596762,3_day_forecast
