feature,importance
pm2_5_nowcast,0.9990602502226473
pm10_nowcast,0.000628237351505451
pm2_5_pm10_ratio,0.00011145725360348432
pm10_nowcast_lag_1h,6.161933397947258e-05
no2_ppb_lag_1h,2.1463532920259907e-05
pm10_nowcast_ma_6h,2.061058907307858e-05
traffic_index,1.8936086215008338e-05
no2_ppb,1.6147716966953217e-05
co_ppm_8hr_avg,1.3291737679775366e-05
pm2_5_nowcast_lag_1h,1.1661346327464903e-05
co_ppm_8hr_avg_lag_1h,9.812838272681879e-06
so2_ppb,8.700829934729606e-06
no2_ppb_ma_6h,5.048761320853298e-06
hour_cos,3.828758725514332e-06
hour,2.329349371073395e-06
season,1.7451532663765126e-06
pm2_5_nowcast_ma_6h,1.6376755664667208e-06
hour_sin,1.2654969414102907e-06
day_of_week_cos,8.439504336441715e-07
is_weekend,4.459855094807628e-07
day_of_week_sin,3.643473044685838e-07
is_rush_hour,3.0168243494916233e-07
