feature,importance
pm2_5_nowcast,120878391.16606583
pm10_nowcast,81851305.96499586
pm2_5_nowcast_lag_1h,79116684.32417187
pm2_5_nowcast_ma_6h,2107157.8332395107
no2_ppb,1788470.4154061973
pm2_5_pm10_ratio,1040707.3661137223
so2_ppb,393325.84193347394
traffic_index,66976.90354791284
pm10_nowcast_ma_6h,22768.253176152706
pm10_nowcast_lag_1h,21518.29977194965
no2_ppb_lag_1h,16855.910457015038
hour_sin,15337.265649855137
co_ppm_8hr_avg_lag_1h,15272.594476088881
co_ppm_8hr_avg,13841.092622220516
no2_ppb_ma_6h,11337.339842945337
hour,4702.377460300922
hour_cos,4356.871934339404
season,2374.585436999798
day_of_week_sin,2205.8680680692196
day_of_week_cos,1934.5640976130962
is_rush_hour,107.99146038293839
is_weekend,22.341399788856506
