feature,importance
pm2_5_nowcast,118431473.15182708
pm10_nowcast,80511708.97894795
pm2_5_nowcast_lag_1h,76980831.406804
pm2_5_nowcast_ma_6h,2144788.095312014
traffic_index,1648888.5916647315
pm2_5_pm10_ratio,1083251.161497265
so2_ppb,397065.34331279993
no2_ppb,212016.12415339053
pm10_nowcast_lag_1h,28890.69633720815
no2_ppb_lag_1h,17517.812464609742
co_ppm_8hr_avg,17152.25316941738
co_ppm_8hr_avg_lag_1h,16546.276610657573
pm10_nowcast_ma_6h,16325.23767875135
no2_ppb_ma_6h,12392.118654072285
hour_sin,11567.158748582006
hour_cos,4689.070051088929
hour,3817.318187057972
season,3270.5305490791798
day_of_week_sin,3126.1526058763266
day_of_week_cos,1702.8697597384453
is_rush_hour,167.29625129699707
is_weekend,63.89167034626007
