datetime,datetime_id,aqi_epa_calc,pm2_5_nowcast,pm10_nowcast,co_ppm_8hr_avg,no2_ppb,so2_ppb,pm2_5_pm10_ratio,traffic_index,total_pm,pm_weighted,hour,is_rush_hour,is_weekend,season,pm2_5_nowcast_lag_1h,no2_ppb_lag_1h
2025-01-20 04:00:00+00:00,1737345600,248,197.94932356532357,249.67493772893772,1.28053928953945,35.336655399897836,12.372693784534698,0.7928281683611728,21.714208955754483,447.62426129426126,213.4670078144078,9,1,0,0,178.2497435897436,25.499364206453574
2025-01-20 05:00:00+00:00,1737349200,258,207.70046886446886,260.92739438339436,1.4203935514102106,33.15236221756095,13.64736365622951,0.796008672662724,20.459574751100654,468.6278632478632,223.6685465201465,10,0,0,0,197.94932356532357,35.336655399897836
2025-01-20 06:00:00+00:00,1737352800,257,207.4250818070818,259.5418656898657,1.5281970144591215,25.866070361152474,14.922033527924327,0.7991970052913937,16.130921022475132,466.96694749694745,223.06011697191695,11,0,0,0,207.70046886446886,33.15236221756095
2025-01-20 07:00:00+00:00,1737356400,230,179.6165299145299,226.70243467643468,1.5500501294180649,13.844485985371316,11.82695189335997,0.792300842162948,8.926711642990014,406.3189645909646,193.74230134310133,12,0,0,0,207.4250818070818,25.866070361152474
2025-01-20 08:00:00+00:00,1737360000,209,158.6219877899878,201.9728669108669,1.5587911571760085,12.202280162154524,11.64758218087597,0.7853628569821194,7.944884560163118,360.59485470085474,171.6272515262515,13,0,0,0,179.6165299145299,13.844485985371316
2025-01-20 09:00:00+00:00,1737363600,199,148.425326007326,189.79420268620268,1.567532184933952,13.65847561704579,13.101621765054785,0.7820329804948039,8.822098244201054,338.2195286935287,160.83598901098898,14,0,0,0,158.6219877899878,12.202280162154524
2025-01-20 10:00:00+00:00,1737367200,217,167.1224590964591,211.92670085470087,1.669509023563013,36.06475312734347,16.55925920144851,0.788586140502607,22.30665548583129,379.04915995115994,180.56373162393163,15,0,0,0,148.425326007326,13.65847561704579
2025-01-20 11:00:00+00:00,1737370800,265,214.98028815628817,268.27400732600734,1.8792904163691537,72.12950625468694,19.471154746667498,0.8013459458822767,44.029419919359825,483.2542954822955,230.9684039072039,16,0,0,0,167.1224590964591,36.06475312734347
2025-01-20 12:00:00+00:00,1737374400,307,256.17825885225886,316.7776214896215,2.132775856836844,97.62887046114051,19.108598944838132,0.8087006198468221,59.43043261941904,572.9558803418804,274.3580676434676,17,1,0,0,214.98028815628817,72.12950625468694
2025-01-20 13:00:00+00:00,1737378000,322,272.1256874236874,335.7529450549451,2.42122431720814,109.28906326417493,16.55925920144851,0.8104938212207037,66.54192768538822,607.8786324786324,291.2138647130647,18,1,0,0,256.17825885225886,97.62887046114051
2025-01-20 14:00:00+00:00,1737381600,328,277.25707203907206,341.1829816849817,2.7854276240628346,99.08506591603178,14.193105547404238,0.8126345302154221,60.5652105992442,618.4400537240538,296.43484493284495,19,1,0,0,272.1256874236874,109.28906326417493
2025-01-20 15:00:00+00:00,1737385200,327,276.87807570207576,339.2423394383394,3.197704946893966,85.97399224005825,12.922252052570785,0.8161660368233637,52.86347732279254,616.1204151404152,295.5873548229548,20,1,0,0,277.25707203907206,99.08506591603178
2025-01-20 16:00:00+00:00,1737388800,343,293.25526739926744,355.7583076923077,3.6478607840949655,85.24589451261264,14.376291636749603,0.8243103844897457,52.60668102120557,649.0135750915751,312.0061794871795,21,1,0,0,276.87807570207576,85.97399224005825
2025-01-20 17:00:00+00:00,1737392400,420,379.40792185592187,452.1878998778999,4.373352994466262,100.5465759528752,20.383268816532947,0.8390492579707902,62.07728676951162,831.5958217338218,401.24191526251525,22,1,0,0,293.25526739926744,85.24589451261264
2025-01-20 18:00:00+00:00,1737396000,500,523.0600610500611,616.9728669108669,5.308627688771866,118.03155057547467,26.20324353010957,0.8477845446737073,72.94238142079354,1140.032927960928,551.2339028083028,23,0,0,0,379.40792185592187,100.5465759528752
2025-01-20 19:00:00+00:00,1737399600,500,615.8580048840049,729.8356361416361,6.112788057836486,118.03155057547467,25.84068772828021,0.8438310961901125,73.26404556841939,1345.693641025641,650.0512942612943,0,0,0,0,523.0600610500611,118.03155057547467
2025-01-20 20:00:00+00:00,1737403200,500,585.154884004884,700.8682002442002,6.532349752320599,96.17267500624925,19.65434083601286,0.8349000337024868,60.316544904677784,1286.0230842490841,619.8688788766789,1,0,0,0,615.8580048840049,118.03155057547467
2025-01-20 21:00:00+00:00,1737406800,488,482.9020341880342,584.0894627594628,6.578968203320242,69.94521307235006,14.193105547404238,0.8267603937017107,44.59871512473813,1066.991496947497,513.2582627594627,2,0,0,0,585.154884004884,96.17267500624925
2025-01-20 22:00:00+00:00,1737410400,426,388.1991623931624,470.82480830280826,6.3808422416101385,48.814435230570254,11.372803046857927,0.8245087250022185,31.840998034986207,859.0239706959707,412.9868561660561,3,0,0,0,482.9020341880342,69.94521307235006
2025-01-20 23:00:00+00:00,1737414000,379,329.1604737484738,397.0322393162393,6.144838856658335,32.057558335416424,10.098133175163113,0.8290522560972559,21.69247054391319,726.1927130647132,349.5220034188034,4,0,0,0,388.1991623931624,48.814435230570254
2025-01-21 00:00:00+00:00,1737417600,348,298.0015140415141,355.9299658119658,5.856389305158872,25.137972633706838,9.464614616177068,0.8372476123545756,17.42533930228765,653.9314798534799,315.3800495726496,5,0,0,0,329.1604737484738,32.057558335416424
2025-01-21 01:00:00+00:00,1737421200,333,282.70323809523813,334.6199316239317,5.27949129328811,24.40987490626121,9.189835482159022,0.8448487713306899,16.75772146107197,617.3231697191698,298.27824615384617,6,0,0,0,298.0015140415141,25.137972633706838
2025-01-21 02:00:00+00:00,1737424800,334,283.5918778998779,333.31818803418804,4.414143729917885,32.42426449011531,10.281319264508475,0.8508142912105061,21.220216186036343,616.9100659340659,298.50977094017094,7,1,0,0,282.70323809523813,24.40987490626121
2025-01-21 03:00:00+00:00,1737428400,367,317.4400708180708,371.19785836385836,3.6449463807568723,59.74121572420688,13.64736365622951,0.8551775385161499,37.302707986826874,688.6379291819292,333.56740708180706,8,1,0,0,283.5918778998779,32.42426449011531
2025-01-21 04:00:00+00:00,1737432000,411,365.99284493284495,428.5227960927961,3.3361025526597645,79.41579811109543,16.925631380139233,0.8540802222656776,48.98391988772116,794.5156410256411,384.7518302808303,9,1,0,0,317.4400708180708,59.74121572420688
2025-01-21 05:00:00+00:00,1737435600,446,418.0769914529915,491.27706715506713,3.51091983443413,86.70208996750388,20.20008272718759,0.8510004219696852,53.42562191427598,909.3540586080586,440.0370141636141,10,0,0,0,365.99284493284495,79.41579811109543
2025-01-21 06:00:00+00:00,1737439200,480,470.16087423687424,553.2332161172161,3.959617924401999,99.08506591603178,23.657720163581306,0.8498420928819629,61.03488671937987,1023.3940903540904,495.08257680097677,11,0,0,0,418.0769914529915,86.70208996750388
2025-01-21 07:00:00+00:00,1737442800,484,476.80296214896214,561.5683272283272,4.35295762674045,94.716479551358,26.20324353010957,0.8490560080235785,58.57107078151098,1038.3712893772895,502.23257167277166,12,0,0,0,470.16087423687424,99.08506591603178
2025-01-21 08:00:00+00:00,1737446400,500,537.6818778998779,630.6475750915752,4.909460270885397,118.03155057547467,28.023655292979118,0.8525869267344794,72.78271445363896,1168.329452991453,565.5715870573871,13,0,0,0,476.80296214896214,94.716479551358
2025-01-21 09:00:00+00:00,1737450000,500,625.4615457875459,731.8584444444444,5.556285413691539,138.42891610785668,29.481511254019292,0.8546209318693252,85.27986383019062,1357.3199902319902,657.3806153846155,14,0,0,0,537.6818778998779,118.03155057547467
2025-01-21 10:00:00+00:00,1737453600,500,662.6253724053723,772.9749548229548,6.025378871385219,126.77403788677441,25.84068772828021,0.8572404167443467,78.47457428061873,1435.6003272283272,695.7302471306471,15,0,0,0,625.4615457875459,138.42891610785668
2025-01-21 11:00:00+00:00,1737457200,500,606.7819658119658,704.6106862026861,6.0953060023206,83.7843844757692,18.196484874972686,0.8611591871847099,52.70875308638976,1311.392652014652,636.1305819291819,16,0,0,0,662.6253724053723,126.77403788677441
2025-01-21 12:00:00+00:00,1737460800,487,481.06178510378504,558.897347985348,5.771893430917529,43.35104498375194,11.82695189335997,0.8607337051032071,28.319384362618177,1039.959133089133,504.4124539682539,17,1,0,0,606.7819658119658,83.7843844757692
2025-01-21 13:00:00+00:00,1737464400,387,337.0568156288157,395.7738266178266,5.1454636558372,16.75687689515384,7.552609808634844,0.8516399846579289,12.112311599427183,732.8306422466424,354.671918925519,18,1,0,0,481.06178510378504,43.35104498375194
