datetime,aqi_epa_calc,pm2_5_nowcast,pm2_5_nowcast_lag_1h,pm2_5_nowcast_ma_3h,pm10_nowcast,co_ppm_8hr_avg,no2_ppb,so2_ppb,pm2_5_pm10_ratio,traffic_index,total_pm,hour,is_rush_hour,is_weekend,season
2025-09-16 18:00:00,31,7.546476190476191,7.01254945054945,7.054629222629225,29.174217338217336,0.0694983175651553,0.037202073665105265,0.17173695876127743,0.25866935329645274,0.0636157594842673,36.72069352869352,18,1,0,Monsoon
2025-09-16 19:00:00,34,8.20854945054945,7.546476190476191,7.589191697191699,32.778903540903535,0.06922117101035344,0.04251665561726316,0.18318608934536257,0.2504217137673505,0.06399580436440218,40.98745299145298,19,1,0,Monsoon
2025-09-16 20:00:00,37,8.889687423687425,8.20854945054945,8.214904354904357,36.32168498168498,0.06896802927525883,0.04783123756942105,0.19081884306808602,0.2447487550046549,0.06439633158503551,45.21137240537241,20,1,0,Monsoon
2025-09-16 21:00:00,39,9.330297924297923,8.889687423687425,8.809511599511602,38.723240537240535,0.06878362861478042,0.04783123756942105,0.19463521992944774,0.24094826656815085,0.06423898996938848,48.05353846153846,21,1,0,Monsoon
2025-09-16 22:00:00,39,9.410578754578754,9.330297924297923,9.210188034188038,39.4989010989011,0.06877489958943234,0.04783123756942105,0.19081884306808602,0.23824912224181966,0.06423154184557088,48.90947985347985,22,1,0,Monsoon
2025-09-16 23:00:00,38,9.20565567765568,9.410578754578754,9.315510785510789,39.21153357753358,0.06893856881470903,0.04783123756942105,0.1870024662067243,0.23476907437665295,0.06437119416715108,48.41718925518926,23,0,0,Monsoon
2025-09-17 00:00:00,37,8.873125763125762,9.20565567765568,9.163120065120067,38.227621489621484,0.06923753793288111,0.04251665561726316,0.18318608934536257,0.2321129378510199,0.0640097695965602,47.10074725274725,0,0,0,Monsoon
2025-09-17 01:00:00,36,8.601821733821733,8.873125763125762,8.893534391534393,36.69041758241759,0.06957251428061406,0.04251665561726316,0.17936971248400085,0.23444327064569964,0.06429559134806101,45.29223931623932,1,0,0,Monsoon
2025-09-17 02:00:00,35,8.441155067155067,8.601821733821733,8.638700854700856,34.78653968253968,0.06984529632274188,0.04251665561726316,0.17555333562263914,0.24265577724984638,0.06452834521736132,43.22769474969475,2,0,0,Monsoon
2025-09-17 03:00:00,35,8.470825396825397,8.441155067155067,8.504600732600736,33.92950671550672,0.07006024857193859,0.04783123756942105,0.17936971248400085,0.24965954318735953,0.065328278077714,42.400332112332116,3,0,0,Monsoon
2025-09-17 04:00:00,36,8.740673992673992,8.470825396825397,8.550884818884821,34.71099877899877,0.07022828230988933,0.04783123756942105,0.19081884306808602,0.2518127984882294,0.06547165446120301,43.45167277167276,4,0,0,Monsoon
2025-09-17 05:00:00,38,9.190608058608058,8.740673992673992,8.800702482702484,36.74175335775335,0.07034939753659407,0.04783123756942105,0.19845159679080948,0.2501406973961936,0.06557499717917234,45.93236141636141,5,0,0,Monsoon
2025-09-17 06:00:00,40,9.695562881562882,9.190608058608058,9.208948310948314,38.84694993894994,0.07035594430560513,0.04783123756942105,0.2022679736521712,0.24958362618471597,0.06558058327203554,48.542512820512826,6,0,0,Monsoon
2025-09-17 07:00:00,42,10.07297435897436,9.695562881562882,9.653048433048435,40.154095238095245,0.07031993707604427,0.04783123756942105,0.19463521992944774,0.2508579523056944,0.06554985976128791,50.2270695970696,7,0,0,Monsoon
2025-09-17 08:00:00,43,10.311606837606837,10.07297435897436,10.026714692714696,40.922271062271065,0.07028392984648339,0.05314581952157895,0.1870024662067243,0.25198031091518464,0.06613565906188429,51.2338778998779,8,1,0,Monsoon
2025-09-17 09:00:00,43,10.435899877899878,10.311606837606837,10.273493691493693,41.391225885225886,0.07029374999999999,0.04783123756942105,0.17555333562263914,0.2521283050352115,0.06552751538983508,51.827125763125764,9,1,0,Monsoon
2025-09-17 10:00:00,44,10.51308424908425,10.435899877899878,10.420196988196992,41.870866910866916,0.07038540476615493,0.04251665561726316,0.17173695876127743,0.25108350444189736,0.06498919787857596,52.38395115995117,10,1,0,Monsoon
2025-09-17 11:00:00,44,10.551736263736263,10.51308424908425,10.500240130240131,42.440932844932846,0.07060690378436273,0.037202073665105265,0.16410420503855397,0.24862167977475047,0.0645616712091038,52.992669108669105,11,0,0,Monsoon
2025-09-17 12:00:00,44,10.53610989010989,10.551736263736263,10.53364346764347,43.051250305250306,0.07096915833630846,0.031887491712947365,0.15647145131583054,0.24473411505288722,0.06425424553619062,53.5873601953602,12,0,0,Monsoon
2025-09-17 13:00:00,44,10.463306471306472,10.53610989010989,10.517050875050877,43.486695970695976,0.07145689262763298,0.031887491712947365,0.1488386975931071,0.24060936332684213,0.06467040945449959,53.95000244200245,13,0,0,Monsoon
2025-09-17 14:00:00,43,10.34189010989011,10.463306471306472,10.44710215710216,43.81972405372406,0.07202646153159586,0.031887491712947365,0.1450223207317454,0.23600992697262935,0.06515639953359868,54.16161416361417,14,0,0,Monsoon
2025-09-17 15:00:00,43,10.206136752136754,10.34189010989011,10.337111111111115,44.52134554334555,0.07258184576936808,0.031887491712947365,0.14120594387038365,0.22924142112818083,0.06563028641149413,54.727482295482304,15,0,0,Monsoon
2025-09-17 16:00:00,41,9.953152625152626,10.206136752136754,10.167059829059832,44.721824175824175,0.07310122277757944,0.031887491712947365,0.14120594387038365,0.2225569414043755,0.06607344977864195,54.6749768009768,16,0,0,Monsoon
2025-09-17 17:00:00,41,9.63653724053724,9.953152625152626,9.931942205942208,44.14149694749695,0.07355949660835415,0.037202073665105265,0.13738956700902194,0.21831015458512965,0.0670809990904105,53.778034188034184,17,1,0,Monsoon
2025-09-17 18:00:00,40,9.283113553113553,9.63653724053724,9.62426780626781,42.86582661782662,0.07397194305605141,0.04251665561726316,0.14120594387038365,0.21656209780615512,0.06804944575213662,52.14894017094017,18,1,0,Monsoon
2025-09-17 19:00:00,38,8.916324786324788,9.283113553113553,9.27865852665853,41.0426398046398,0.07430582827561585,0.04783123756942105,0.14120594387038365,0.2172453967756581,0.06895085929950424,49.958964590964584,19,1,0,Monsoon
2025-09-17 20:00:00,36,8.547873015873016,8.916324786324788,8.915770451770454,38.85570695970696,0.07454478534451982,0.05314581952157895,0.1450223207317454,0.21999014983170784,0.06977127450035533,47.40357997557997,20,1,0,Monsoon
2025-09-17 21:00:00,34,8.193604395604394,8.547873015873016,8.552600732600736,36.57192918192918,0.07469536103177436,0.05314581952157895,0.1450223207317454,0.22404079726841972,0.06989975463620911,44.765533577533574,21,1,0,Monsoon
2025-09-17 22:00:00,33,7.881433455433456,8.193604395604394,8.207636955636957,34.644788766788764,0.07479901820778292,0.05314581952157895,0.1450223207317454,0.22749260447205158,0.06998820110654323,42.526222222222216,22,1,0,Monsoon
2025-09-17 23:00:00,32,7.595316239316239,7.881433455433456,7.890118030118032,33.01097435897436,0.07484702784719743,0.04783123756942105,0.1450223207317454,0.23008457510636318,0.06941264297619609,40.6062905982906,23,0,0,Monsoon
2025-09-18 00:00:00,30,7.297228327228328,7.595316239316239,7.5913260073260105,31.033704517704514,0.07485793912888254,0.04783123756942105,0.1450223207317454,0.23513880168339257,0.06942195313096809,38.33093284493284,0,0,0,Monsoon
2025-09-18 01:00:00,29,7.0281709401709405,7.297228327228328,7.306905168905171,29.02978998778999,0.07486012138521957,0.04783123756942105,0.14120594387038365,0.24210201661896252,0.0694238151619225,36.05796092796093,1,0,0,Monsoon
