datetime,aqi_owm,aqi_epa_calc,pm2_5_nowcast,pm10_nowcast,co_ppm,co_ppm_8hr_avg,o3_ppb,o3_ppb_8hr_avg,no2_ppb,so2_ppb
2024-10-27 13:00:00,4.0,154,61.250539463904346,135.8212380502279,1.1188340949660835,1.7234096639593002,57.56446875,21.9171328125,24.043168751562312,3.5034339587300596
2024-10-27 14:00:00,4.0,150,55.38583381139492,136.0925057186792,1.0022841485183862,1.716125292306319,52.465624999999996,26.7218125,22.039571355598785,2.957692067555333
2024-10-27 15:00:00,4.0,139,51.11481147198338,136.81350231953243,0.9323646554801854,1.6665946202249193,41.16768749999999,30.717859375,20.764071687080893,2.5035432210532886
2024-10-27 16:00:00,4.0,134,49.091464113651455,135.7862484694442,0.8973961799357371,1.5660744377008209,30.241593749999996,33.57608984375,21.130777841779786,2.2974588705397556
2024-10-27 17:00:00,4.0,131,47.6907375573325,130.97056734770953,0.9207026776151374,1.3985404364512675,18.398625,34.76038671875,24.40987490626121,2.160069303530734
2024-10-27 18:00:00,4.0,133,48.31966873965624,127.03265268678122,1.1188340949660835,1.220809842466976,3.3262187500000002,33.73017578125,32.42426449011531,2.2974588705397556
2024-10-27 19:00:00,4.0,134,48.93967344126612,124.23721798969659,1.1304873438057834,1.0824122367011781,0.80990625,31.0986171875,30.96275445327189,2.2287640870352448
2024-10-27 20:00:00,4.0,136,49.58965765095007,134.55176834326744,0.8624364334166369,0.9979174535880042,8.56259375,26.567089843749997,24.771266479007945,1.9349030687103923
2024-10-27 21:00:00,4.0,150,55.37695181109347,178.40957818356515,0.6584827561585147,0.9403735362370581,20.2221875,21.8993046875,16.395485322407104,1.7059204570286888
2024-10-27 22:00:00,5.0,158,69.15497136165513,225.4349093785133,0.6351675294537664,0.8944839588539806,22.7690625,18.187234375,14.572583712816947,1.7975135017013704
2024-10-27 23:00:00,5.0,164,81.26556803994855,242.56924283925156,0.6584827561585147,0.8602487214387717,23.680843749999998,16.001378906249997,14.572583712816947,2.0226797365217117
2024-10-28 00:00:00,5.0,164,81.6190435165487,227.4694997532347,0.6526517672259906,0.8296556698500535,25.866062499999998,15.4544375,14.572583712816947,2.003597852214903
2024-10-28 01:00:00,5.0,160,73.88102549550625,205.0041337129045,0.6002077829346661,0.7895938080149945,29.1464375,16.7979140625,14.025181771744684,1.8204117628695407
2024-10-28 02:00:00,4.0,161,74.20910854321782,197.57467412143265,0.6060300428418421,0.7254933014994644,30.97,20.253386718749997,13.29708404429905,2.2058658258670745
2024-10-28 03:00:00,5.0,166,84.12074025108349,202.68678380087752,0.5361105498036415,0.6511962022491966,33.883624999999995,24.387601562500002,10.01798697981763,2.251662348203415
2024-10-28 04:00:00,5.0,169,89.59691575091576,217.09093786507597,0.4079073545162442,0.5943800673866475,38.254062499999996,28.099035156249997,6.101140081077262,1.843310024037711
2024-10-28 05:00:00,5.0,173,98.37571672771672,223.21614642649797,0.32049489468047127,0.5521315847018922,41.89609375,30.8082734375,3.826499005553684,1.4998361065151562
2024-10-28 06:00:00,5.0,173,98.21893040293041,218.35305953056334,0.2884506426276329,0.5087919738486254,43.358000000000004,33.381890625,3.1409179337253157,1.4120594387038368
2024-10-28 07:00:00,5.0,170,92.08898412698413,215.5245112674797,0.3175881292395573,0.46618014548375575,42.262843749999995,35.704640624999996,4.18789057830042,1.5685308900196673
2024-10-28 08:00:00,5.0,163,78.8949744249354,215.65882207697126,0.4428671010353445,0.439957062209925,37.163999999999994,37.116882812499995,8.561791524926369,2.0226797365217117
2024-10-28 09:00:00,5.0,162,76.65874517633557,215.01750485621415,0.6992734916101392,0.4523402757943591,30.241593749999996,37.25377734375,15.662073013009314,2.6142181500327784
2024-10-28 10:00:00,5.0,163,79.25620781256964,216.62250742345876,0.9556711531595857,0.4960454145840771,27.322875,36.79788671874999,20.402680114334157,3.0492851122280147
2024-10-28 11:00:00,5.0,167,86.62476205884457,221.5465695187514,0.9789776508389859,0.5514038022134952,33.883624999999995,36.79788671874999,19.669267804936364,3.1828583023756747
2024-10-28 12:00:00,5.0,171,94.86986401683114,230.68659285039365,0.9207026776151374,0.6155032176008568,42.262843749999995,37.298984374999996,17.85168077729837,2.957692067555333
2024-10-28 13:00:00,5.0,173,97.98405821627436,235.20859733324136,1.0255993752231345,0.7036412776686897,45.17646875,37.709031249999995,20.402680114334157,3.1828583023756747
2024-10-28 14:00:00,5.0,172,96.91681501832893,232.51785393732484,1.2004155658693323,0.8176368930739021,43.71965624999999,37.75423828125,25.499364206453574,3.6408235257390813
2024-10-28 15:00:00,5.0,170,91.47018665924706,225.6218822083126,1.2470285612281327,0.933816947072474,39.34921875,37.39003515625,28.050363543489368,3.7743967158867417
2024-10-28 16:00:00,5.0,165,83.12479572285,214.38356171948408,1.0955275972866831,1.0153995091038914,32.4268125,36.79788671874999,25.866070361152474,3.5492304810664006
2024-10-28 17:00:00,5.0,163,79.3271143929304,207.7960694262545,0.9789776508389859,1.0503625290074972,22.590781250000003,35.841535156249996,25.866070361152474,3.5492304810664006
2024-10-28 18:00:00,5.0,163,79.15248994362543,207.58260260001902,1.0838656194216352,1.0663868372902534,7.8341875,33.40544921875,33.88045994500658,3.5492304810664006
2024-10-28 19:00:00,5.0,162,77.72208731032794,207.88988425591987,1.1071808461263835,1.0824122367011781,2.48065625,29.480078125,34.60855767245221,2.957692067555333
2024-10-28 20:00:00,5.0,160,73.59711852123041,204.30398164671254,0.8857429310960372,1.0780422683862905,8.924249999999999,25.312753906249995,26.5941680885981,2.366153654044267
