feature,importance
pm2_5_nowcast,1551
pm2_5_pm10_ratio,925
pm_weighted,493
pm10_nowcast,430
total_pm,276
atmospheric_stability,269
aqi_epa_calc_lag_2h,206
industrial_pollution_index,205
so2_ppb,200
pm2_5_3h_mean,148
pm2_5_nowcast_lag_1h,143
no2_ppb,131
no2_ppb_lag_1h,115
co_ppm_8hr_avg,84
no2_3h_mean,83
pm2_5_3h_std,81
no2_3h_std,81
hour_cos,70
traffic_pollution_index,50
month,46
day_cos,33
hour_sin,31
hour,25
day_sin,25
day_of_week,15
is_morning_rush,0
