datetime,datetime_id,aqi_epa_calc,pm2_5_nowcast,pm10_nowcast,co_ppm_8hr_avg,no2_ppb,so2_ppb,pm2_5_nowcast_lag_1h,pm10_nowcast_lag_1h,co_ppm_8hr_avg_lag_1h,no2_ppb_lag_1h,pm2_5_pm10_ratio,traffic_index,hour,is_rush_hour,is_weekend,season,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos,pm2_5_nowcast_ma_6h,pm10_nowcast_ma_6h,no2_ppb_ma_6h
2025-09-25 08:00:00,1758787200,29,6.8914896214896215,24.23908669108669,0.08014118172081398,0.031887491712947365,0.08396029094995784,6.672358974358975,23.225824175824176,0.07996005444484111,0.031887491712947365,0.28431308940463473,0.05118896771609401,8,1,0,3,0.8660254037844387,-0.4999999999999998,0.43388373911755823,-0.900968867902419,6.323404558404558,21.898301994301992,0.031887491712947365
2025-09-25 09:00:00,1758790800,30,7.081076923076923,25.08579975579976,0.08024593002499107,0.026572909760789475,0.08014391408859613,6.8914896214896215,24.23908669108669,0.08014118172081398,0.031887491712947365,0.28227431423388444,0.04804211786647011,9,1,0,3,0.7071067811865476,-0.7071067811865475,0.43388373911755823,-0.900968867902419,6.548645502645503,22.751784289784286,0.03100172805425912
2025-09-25 10:00:00,1758794400,30,7.245880341880342,25.824151404151404,0.08029284853623704,0.02125832780863158,0.07632753722723443,7.081076923076923,25.08579975579976,0.08024593002499107,0.026572909760789475,0.280585418993304,0.04487213609967376,10,0,0,3,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,6.75878551078551,23.626954008954012,0.029230200736873158
2025-09-25 11:00:00,1758798000,31,7.383267399267399,26.458222222222222,0.08031139771510173,0.02125832780863158,0.0725111603658727,7.245880341880342,25.824151404151404,0.08029284853623704,0.02125832780863158,0.27905379799351004,0.04487955577121964,11,0,0,3,0.258819045102521,-0.9659258262890682,0.43388373911755823,-0.900968867902419,6.953036223036224,24.497105006105006,0.027458673419487187
2025-09-25 12:00:00,1758801600,31,7.486932844932844,26.96517216117216,0.08030266868975365,0.02125832780863158,0.06869478350451097,7.383267399267399,26.458222222222222,0.08031139771510173,0.02125832780863158,0.2776519578730326,0.044876064161080406,12,0,0,3,1.2246467991473532e-16,-1.0,0.43388373911755823,-0.900968867902419,7.1268343508343515,25.299709401709404,0.025687146102101228
2025-09-25 13:00:00,1758805200,32,7.5637338217338215,27.44862026862027,0.08027539048554087,0.02125832780863158,0.06487840664314926,7.486932844932844,26.96517216117216,0.08030266868975365,0.02125832780863158,0.27555970929368756,0.0448651528793953,13,0,0,3,-0.2588190451025208,-0.9659258262890683,0.43388373911755823,-0.900968867902419,7.275396825396825,26.003508750508747,0.023915618784715265
2025-09-25 14:00:00,1758808800,32,7.622105006105007,27.895323565323565,0.0802186518207783,0.015943745856473682,0.06487840664314926,7.5637338217338215,27.44862026862027,0.08027539048554087,0.02125832780863158,0.27323952662732254,0.041653708242195525,14,0,0,3,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,7.397166056166057,26.612881562881558,0.021258327808636318
2025-09-25 15:00:00,1758812400,32,7.681264957264957,28.30865445665446,0.08018919136022848,0.02125832780863158,0.06106202978178753,7.622105006105007,27.895323565323565,0.0802186518207783,0.015943745856473682,0.2713398112590031,0.04483067322927034,15,0,0,3,-0.7071067811865471,-0.7071067811865479,0.43388373911755823,-0.900968867902419,7.497197395197394,27.150024013024012,0.02037256414994333
2025-09-25 16:00:00,1758816000,32,7.705814407814408,28.670285714285715,0.08019682925740806,0.02125832780863158,0.06106202978178753,7.681264957264957,28.30865445665446,0.08018919136022848,0.02125832780863158,0.2687735477981228,0.044833728388142174,16,0,0,3,-0.8660254037844385,-0.5000000000000004,0.43388373911755823,-0.900968867902419,7.573853072853073,27.62437973137973,0.020372564149943335
2025-09-25 17:00:00,1758819600,32,7.683054945054945,28.90602686202686,0.08022847197429489,0.02125832780863158,0.0572456529204258,7.705814407814408,28.670285714285715,0.08019682925740806,0.02125832780863158,0.26579422283551485,0.0448463854748969,17,1,0,3,-0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419,7.623817663817664,28.03234717134717,0.02037256414994333
