feature,importance
pm2_5_nowcast,122440452.6130802
pm10_nowcast,83438635.19850415
pm2_5_nowcast_lag_1h,79676721.28564566
pm2_5_nowcast_ma_6h,2165165.5851751715
no2_ppb,1217421.5889397264
pm2_5_pm10_ratio,1126406.7686645985
traffic_index,600443.3692768812
so2_ppb,395210.7594573945
pm10_nowcast_lag_1h,36049.73356874287
co_ppm_8hr_avg_lag_1h,24395.042070433497
pm10_nowcast_ma_6h,22365.631439447403
no2_ppb_lag_1h,20163.589858055115
co_ppm_8hr_avg,15414.740600571036
hour_sin,14315.564855456352
no2_ppb_ma_6h,13869.102757796645
hour_cos,6160.853013470769
hour,5331.847489789128
season,3083.347964525223
day_of_week_sin,2973.750279441476
day_of_week_cos,2521.5323772132397
is_rush_hour,75.72130012512207
is_weekend,46.24182200431824
