feature,importance
pm2_5_nowcast,120334479.63725775
pm10_nowcast,82344481.83565961
pm2_5_nowcast_lag_1h,77972350.99245709
pm2_5_nowcast_ma_6h,2078214.7680648267
no2_ppb,1163554.9922751635
pm2_5_pm10_ratio,1117880.8463168144
traffic_index,693313.4387268722
so2_ppb,275382.1617619842
pm10_nowcast_lag_1h,22322.17622371018
co_ppm_8hr_avg_lag_1h,17673.93937803805
no2_ppb_lag_1h,15817.11790908873
pm10_nowcast_ma_6h,15554.943913117051
co_ppm_8hr_avg,15067.953040480614
hour_sin,10791.133078709245
no2_ppb_ma_6h,9460.680445209146
hour_cos,4078.307175859809
hour,3693.4760702699423
day_of_week_cos,2980.7691740989685
day_of_week_sin,2826.769881218672
season,2111.266205072403
is_rush_hour,93.76815903186798
is_weekend,0.0
