feature,importance
pm2_5_nowcast,109268205.178112
pm10_nowcast,77222303.15674777
pm2_5_nowcast_lag_1h,68740918.95520188
pm2_5_nowcast_ma_6h,1751518.61827828
traffic_index,1636571.7567762882
pm2_5_pm10_ratio,1061971.1298442632
no2_ppb,307573.5066854805
pm10_nowcast_lag_1h,262668.7658447027
so2_ppb,233695.35318478942
co_ppm_8hr_avg_lag_1h,35884.148124575615
co_ppm_8hr_avg,25277.18058899045
no2_ppb_lag_1h,15422.688790231943
no2_ppb_ma_6h,14028.853360280395
hour_sin,12086.952063843608
pm10_nowcast_ma_6h,11278.09678594768
season,5955.601386666298
hour,5087.67955866456
hour_cos,4388.000107511878
day_of_week_sin,1760.625130534172
day_of_week_cos,1319.380764245987
is_rush_hour,134.65143942832947
is_weekend,45.998250007629395
