feature,importance
pm2_5_nowcast,122082201.12502882
pm10_nowcast,82986877.80501762
pm2_5_nowcast_lag_1h,79573505.10546055
pm2_5_nowcast_ma_6h,2140489.3365149796
no2_ppb,1218744.4178110212
pm2_5_pm10_ratio,1131202.5955700278
traffic_index,601362.5594566911
so2_ppb,375417.9842390269
pm10_nowcast_lag_1h,36674.11711001396
pm10_nowcast_ma_6h,17947.560679331422
no2_ppb_lag_1h,17681.241706490517
co_ppm_8hr_avg,14930.250175535679
hour_sin,14533.364038437605
co_ppm_8hr_avg_lag_1h,13593.799869775772
no2_ppb_ma_6h,10015.543732181191
hour_cos,5340.911125540733
hour,3880.3201737999916
season,3418.235340118408
day_of_week_sin,2534.878180488944
day_of_week_cos,1742.574576407671
is_rush_hour,118.34187006950378
is_weekend,50.58814001083374
