feature,importance
pm2_5_nowcast,118510812.00358048
pm10_nowcast,80763167.05233063
pm2_5_nowcast_lag_1h,77068746.00723676
pm2_5_nowcast_ma_6h,1901722.4293106943
no2_ppb,1783306.8230414689
pm2_5_pm10_ratio,1070436.0912621617
so2_ppb,373061.30897192657
traffic_index,69926.93111202121
pm10_nowcast_lag_1h,35398.140103921294
co_ppm_8hr_avg_lag_1h,18174.94511987269
hour_sin,17707.064469516277
no2_ppb_lag_1h,16175.116365492344
co_ppm_8hr_avg,15701.53985747695
pm10_nowcast_ma_6h,15230.382458359003
no2_ppb_ma_6h,12322.430170312524
hour,5102.377402991056
hour_cos,4790.328459739685
day_of_week_sin,3275.489452943206
season,2063.632259786129
day_of_week_cos,2000.151372820139
is_rush_hour,115.60989093780518
is_weekend,58.57247018814087
