feature,importance
pm2_5_nowcast,0.3648755
pm2_5_nowcast_lag_1h,0.3248487
pm10_nowcast,0.20819706
pm2_5_nowcast_ma_6h,0.07761679
traffic_index,0.0071296743
pm2_5_pm10_ratio,0.0058077206
no2_ppb,0.004687568
pm10_nowcast_lag_1h,0.0025866916
so2_ppb,0.0010548404
season,0.0008234017
hour_sin,0.00045217187
hour,0.0004308149
co_ppm_8hr_avg,0.0003438701
co_ppm_8hr_avg_lag_1h,0.00024741841
no2_ppb_lag_1h,0.00020520017
hour_cos,0.00014387132
day_of_week_cos,0.00014097574
pm10_nowcast_ma_6h,0.00012386683
no2_ppb_ma_6h,9.9324476e-05
is_rush_hour,9.9121346e-05
day_of_week_sin,6.7699286e-05
is_weekend,1.7656097e-05
