datetime,aqi_forecast,forecast_type
2025-12-09 22:00:00+00:00,145.38103,3_day_forecast
2025-12-09 23:00:00+00:00,147.40733,3_day_forecast
2025-12-10 00:00:00+00:00,145.81944,3_day_forecast
2025-12-10 01:00:00+00:00,141.62035,3_day_forecast
2025-12-10 02:00:00+00:00,129.70517,3_day_forecast
2025-12-10 03:00:00+00:00,128.62308,3_day_forecast
2025-12-10 04:00:00+00:00,130.27446,3_day_forecast
2025-12-10 05:00:00+00:00,130.21344,3_day_forecast
2025-12-10 06:00:00+00:00,133.40746,3_day_forecast
2025-12-10 07:00:00+00:00,148.64603,3_day_forecast
2025-12-10 08:00:00+00:00,148.93594,3_day_forecast
2025-12-10 09:00:00+00:00,135.27628,3_day_forecast
2025-12-10 10:00:00+00:00,141.2229,3_day_forecast
2025-12-10 11:00:00+00:00,136.5613,3_day_forecast
2025-12-10 12:00:00+00:00,138.38713,3_day_forecast
2025-12-10 13:00:00+00:00,143.44647,3_day_forecast
2025-12-10 14:00:00+00:00,148.53018,3_day_forecast
2025-12-10 15:00:00+00:00,130.4997,3_day_forecast
2025-12-10 16:00:00+00:00,141.00102,3_day_forecast
2025-12-10 17:00:00+00:00,143.11926,3_day_forecast
2025-12-10 18:00:00+00:00,149.19455,3_day_forecast
2025-12-10 19:00:00+00:00,140.94177,3_day_forecast
2025-12-10 20:00:00+00:00,142.63196,3_day_forecast
2025-12-10 21:00:00+00:00,142.623,3_day_forecast
2025-12-10 22:00:00+00:00,140.10388,3_day_forecast
2025-12-10 23:00:00+00:00,134.08543,3_day_forecast
2025-12-11 00:00:00+00:00,140.8067,3_day_forecast
2025-12-11 01:00:00+00:00,137.26317,3_day_forecast
2025-12-11 02:00:00+00:00,129.69106,3_day_forecast
2025-12-11 03:00:00+00:00,129.66525,3_day_forecast
2025-12-11 04:00:00+00:00,130.28072,3_day_forecast
2025-12-11 05:00:00+00:00,129.46472,3_day_forecast
2025-12-11 06:00:00+00:00,138.38805,3_day_forecast
2025-12-11 07:00:00+00:00,148.62015,3_day_forecast
2025-12-11 08:00:00+00:00,149.105,3_day_forecast
2025-12-11 09:00:00+00:00,132.6084,3_day_forecast
2025-12-11 10:00:00+00:00,133.33083,3_day_forecast
2025-12-11 11:00:00+00:00,142.67104,3_day_forecast
2025-12-11 12:00:00+00:00,136.29004,3_day_forecast
2025-12-11 13:00:00+00:00,147.07721,3_day_forecast
2025-12-11 14:00:00+00:00,136.16782,3_day_forecast
2025-12-11 15:00:00+00:00,145.28278,3_day_forecast
2025-12-11 16:00:00+00:00,133.38414,3_day_forecast
2025-12-11 17:00:00+00:00,149.62572,3_day_forecast
2025-12-11 18:00:00+00:00,148.95999,3_day_forecast
2025-12-11 19:00:00+00:00,135.51495,3_day_forecast
2025-12-11 20:00:00+00:00,146.30534,3_day_forecast
2025-12-11 21:00:00+00:00,140.461,3_day_forecast
2025-12-11 22:00:00+00:00,146.74307,3_day_forecast
2025-12-11 23:00:00+00:00,135.32347,3_day_forecast
2025-12-12 00:00:00+00:00,142.29156,3_day_forecast
2025-12-12 01:00:00+00:00,140.8295,3_day_forecast
2025-12-12 02:00:00+00:00,129.69955,3_day_forecast
2025-12-12 03:00:00+00:00,129.1726,3_day_forecast
2025-12-12 04:00:00+00:00,131.4911,3_day_forecast
2025-12-12 05:00:00+00:00,125.94457,3_day_forecast
2025-12-12 06:00:00+00:00,141.13759,3_day_forecast
2025-12-12 07:00:00+00:00,147.95851,3_day_forecast
2025-12-12 08:00:00+00:00,149.13885,3_day_forecast
2025-12-12 09:00:00+00:00,142.12627,3_day_forecast
2025-12-12 10:00:00+00:00,142.01622,3_day_forecast
2025-12-12 11:00:00+00:00,141.78085,3_day_forecast
2025-12-12 12:00:00+00:00,148.0673,3_day_forecast
2025-12-12 13:00:00+00:00,141.82071,3_day_forecast
2025-12-12 14:00:00+00:00,136.52557,3_day_forecast
2025-12-12 15:00:00+00:00,129.2534,3_day_forecast
2025-12-12 16:00:00+00:00,146.05757,3_day_forecast
2025-12-12 17:00:00+00:00,149.28131,3_day_forecast
2025-12-12 18:00:00+00:00,148.77196,3_day_forecast
2025-12-12 19:00:00+00:00,146.60777,3_day_forecast
2025-12-12 20:00:00+00:00,147.10953,3_day_forecast
2025-12-12 21:00:00+00:00,146.90558,3_day_forecast
