feature,importance
pm2_5_nowcast,0.9989564864696149
pm10_nowcast,0.0007334452458535623
pm2_5_pm10_ratio,0.00011061481066388442
pm10_nowcast_lag_1h,6.236420379680364e-05
no2_ppb_lag_1h,2.384725805964551e-05
pm10_nowcast_ma_6h,1.8890727904721697e-05
traffic_index,1.755010643531838e-05
no2_ppb,1.5165864434376161e-05
co_ppm_8hr_avg,1.4032597111088236e-05
pm2_5_nowcast_lag_1h,1.1006734108333368e-05
so2_ppb,9.88336887412397e-06
co_ppm_8hr_avg_lag_1h,9.364328511281268e-06
no2_ppb_ma_6h,4.485201362924418e-06
hour_cos,3.5857231519669504e-06
hour,2.4800121302298603e-06
season,1.960607089205659e-06
pm2_5_nowcast_ma_6h,1.8473831898519394e-06
day_of_week_cos,1.0545502357275232e-06
hour_sin,1.0153808427679034e-06
day_of_week_sin,5.646884400419467e-07
is_rush_hour,3.0382366291282133e-07
is_weekend,5.091452642930944e-08
