feature,importance
pm2_5_nowcast,0.9981679087691528
pm10_nowcast,0.0011161576275810921
pm2_5_pm10_ratio,0.00023912954169254838
pm10_nowcast_lag_1h,0.00010713956357164426
pm10_nowcast_ma_6h,5.5412969399629157e-05
co_ppm_8hr_avg,5.302649744222503e-05
co_ppm_8hr_avg_lag_1h,4.8664700683468996e-05
no2_ppb,4.651704094744804e-05
no2_ppb_lag_1h,4.1777528252626e-05
traffic_index,4.173418877406032e-05
so2_ppb,3.301616500437936e-05
no2_ppb_ma_6h,1.5429471675487524e-05
pm2_5_nowcast_lag_1h,7.970262188467975e-06
hour_cos,7.890410928757843e-06
hour_sin,4.964586516007498e-06
pm2_5_nowcast_ma_6h,3.816139169746028e-06
hour,3.086988333896097e-06
day_of_week_sin,2.218746810443824e-06
season,2.1834174794257604e-06
day_of_week_cos,1.5372029102251797e-06
is_rush_hour,2.6741096066169496e-07
is_weekend,1.5077052498021346e-07
