feature,importance
pm2_5_nowcast,117375925.65427335
pm10_nowcast,79855233.68845375
pm2_5_nowcast_lag_1h,76285414.4442765
pm2_5_nowcast_ma_6h,2103985.3763958365
no2_ppb,1245356.202157855
pm2_5_pm10_ratio,949692.3381254822
traffic_index,618974.2202992141
so2_ppb,382486.3635454029
pm10_nowcast_lag_1h,31456.723929151893
co_ppm_8hr_avg,22999.69446055591
co_ppm_8hr_avg_lag_1h,21894.68886964023
no2_ppb_lag_1h,18538.114876016974
pm10_nowcast_ma_6h,17285.940865457058
no2_ppb_ma_6h,13928.406089618802
hour_sin,13183.940449789166
hour,4912.804619207978
hour_cos,3621.7466941028833
day_of_week_cos,3432.22147102654
season,3039.489085704088
day_of_week_sin,2596.932962074876
is_rush_hour,92.81965970993042
is_weekend,86.29704761505127
