feature,importance
pm2_5_nowcast,0.9984023569517556
pm10_nowcast,0.0009753454505576712
pm2_5_pm10_ratio,0.00021165613344393774
pm10_nowcast_lag_1h,9.679755941334979e-05
co_ppm_8hr_avg,4.9744770319351496e-05
no2_ppb,4.6746888122505154e-05
pm10_nowcast_ma_6h,4.188264723747337e-05
traffic_index,3.9680092479062005e-05
co_ppm_8hr_avg_lag_1h,3.5886558516150905e-05
no2_ppb_lag_1h,3.200189342983348e-05
so2_ppb,2.4567982006837572e-05
no2_ppb_ma_6h,1.1638218845515058e-05
pm2_5_nowcast_lag_1h,7.781539747199037e-06
hour_cos,7.159601121535758e-06
hour_sin,4.260017092670756e-06
pm2_5_nowcast_ma_6h,3.76074614146621e-06
hour,2.673448070042554e-06
day_of_week_sin,2.6395730340738705e-06
day_of_week_cos,1.7008338750531001e-06
season,1.2955336664509956e-06
is_rush_hour,2.624038855501498e-07
is_weekend,1.611572387053945e-07
