datetime,aqi_forecast,forecast_type
2025-11-23 13:00:00+00:00,169.24916,3_day_forecast
2025-11-23 14:00:00+00:00,169.4812,3_day_forecast
2025-11-23 15:00:00+00:00,171.38669,3_day_forecast
2025-11-23 16:00:00+00:00,169.81541,3_day_forecast
2025-11-23 17:00:00+00:00,180.4341,3_day_forecast
2025-11-23 18:00:00+00:00,181.50972,3_day_forecast
2025-11-23 19:00:00+00:00,170.5994,3_day_forecast
2025-11-23 20:00:00+00:00,171.28065,3_day_forecast
2025-11-23 21:00:00+00:00,171.35007,3_day_forecast
2025-11-23 22:00:00+00:00,168.93063,3_day_forecast
2025-11-23 23:00:00+00:00,169.36452,3_day_forecast
2025-11-24 00:00:00+00:00,174.89268,3_day_forecast
2025-11-24 01:00:00+00:00,174.34296,3_day_forecast
2025-11-24 02:00:00+00:00,169.46709,3_day_forecast
2025-11-24 03:00:00+00:00,168.7712,3_day_forecast
2025-11-24 04:00:00+00:00,169.7274,3_day_forecast
2025-11-24 05:00:00+00:00,169.34904,3_day_forecast
2025-11-24 06:00:00+00:00,174.18181,3_day_forecast
2025-11-24 07:00:00+00:00,182.82562,3_day_forecast
2025-11-24 08:00:00+00:00,183.2458,3_day_forecast
2025-11-24 09:00:00+00:00,174.49184,3_day_forecast
2025-11-24 10:00:00+00:00,174.97554,3_day_forecast
2025-11-24 11:00:00+00:00,174.68692,3_day_forecast
2025-11-24 12:00:00+00:00,174.97514,3_day_forecast
2025-11-24 13:00:00+00:00,174.20612,3_day_forecast
2025-11-24 14:00:00+00:00,174.11377,3_day_forecast
2025-11-24 15:00:00+00:00,176.16812,3_day_forecast
2025-11-24 16:00:00+00:00,174.18901,3_day_forecast
2025-11-24 17:00:00+00:00,182.79045,3_day_forecast
2025-11-24 18:00:00+00:00,180.4376,3_day_forecast
2025-11-24 19:00:00+00:00,175.65503,3_day_forecast
2025-11-24 20:00:00+00:00,174.21388,3_day_forecast
2025-11-24 21:00:00+00:00,174.65701,3_day_forecast
2025-11-24 22:00:00+00:00,173.26941,3_day_forecast
2025-11-24 23:00:00+00:00,174.6368,3_day_forecast
2025-11-25 00:00:00+00:00,174.1762,3_day_forecast
2025-11-25 01:00:00+00:00,174.61864,3_day_forecast
2025-11-25 02:00:00+00:00,169.4942,3_day_forecast
2025-11-25 03:00:00+00:00,168.75374,3_day_forecast
2025-11-25 04:00:00+00:00,170.41412,3_day_forecast
2025-11-25 05:00:00+00:00,169.58586,3_day_forecast
2025-11-25 06:00:00+00:00,175.53058,3_day_forecast
2025-11-25 07:00:00+00:00,182.74654,3_day_forecast
2025-11-25 08:00:00+00:00,183.77483,3_day_forecast
2025-11-25 09:00:00+00:00,175.19705,3_day_forecast
2025-11-25 10:00:00+00:00,176.11035,3_day_forecast
2025-11-25 11:00:00+00:00,176.04832,3_day_forecast
2025-11-25 12:00:00+00:00,174.80042,3_day_forecast
2025-11-25 13:00:00+00:00,176.60648,3_day_forecast
2025-11-25 14:00:00+00:00,175.78671,3_day_forecast
2025-11-25 15:00:00+00:00,174.11102,3_day_forecast
2025-11-25 16:00:00+00:00,176.18068,3_day_forecast
2025-11-25 17:00:00+00:00,182.00883,3_day_forecast
2025-11-25 18:00:00+00:00,181.95905,3_day_forecast
2025-11-25 19:00:00+00:00,175.54823,3_day_forecast
2025-11-25 20:00:00+00:00,175.67027,3_day_forecast
2025-11-25 21:00:00+00:00,174.24895,3_day_forecast
2025-11-25 22:00:00+00:00,175.60777,3_day_forecast
2025-11-25 23:00:00+00:00,174.20883,3_day_forecast
2025-11-26 00:00:00+00:00,174.93315,3_day_forecast
2025-11-26 01:00:00+00:00,173.49036,3_day_forecast
2025-11-26 02:00:00+00:00,170.31326,3_day_forecast
2025-11-26 03:00:00+00:00,169.74829,3_day_forecast
2025-11-26 04:00:00+00:00,170.42679,3_day_forecast
2025-11-26 05:00:00+00:00,168.2542,3_day_forecast
2025-11-26 06:00:00+00:00,175.59538,3_day_forecast
2025-11-26 07:00:00+00:00,181.32484,3_day_forecast
2025-11-26 08:00:00+00:00,182.31367,3_day_forecast
2025-11-26 09:00:00+00:00,174.3612,3_day_forecast
2025-11-26 10:00:00+00:00,176.28853,3_day_forecast
2025-11-26 11:00:00+00:00,174.1256,3_day_forecast
2025-11-26 12:00:00+00:00,175.8402,3_day_forecast
