feature,importance
pm2_5_nowcast,0.36325943
pm2_5_nowcast_lag_1h,0.32851106
pm10_nowcast,0.20809303
pm2_5_nowcast_ma_6h,0.07465404
pm2_5_pm10_ratio,0.0064952094
traffic_index,0.0059655947
no2_ppb,0.005525786
pm10_nowcast_lag_1h,0.0030198116
so2_ppb,0.0010989603
season,0.00078028365
is_rush_hour,0.0004744234
hour_sin,0.00041781575
hour,0.00036763362
co_ppm_8hr_avg,0.00032392953
co_ppm_8hr_avg_lag_1h,0.00021476143
no2_ppb_lag_1h,0.00017964779
hour_cos,0.00015248173
is_weekend,0.00013465242
pm10_nowcast_ma_6h,0.000107036045
no2_ppb_ma_6h,9.847216e-05
day_of_week_cos,8.011362e-05
day_of_week_sin,4.586157e-05
