feature,importance
pm2_5_nowcast,109514998.8233273
pm10_nowcast,77475221.42405808
pm2_5_nowcast_lag_1h,68924142.50408395
pm2_5_nowcast_ma_6h,1749502.0615564436
traffic_index,1642233.8976140916
pm2_5_pm10_ratio,1063230.6760021448
no2_ppb,308531.84799940884
so2_ppb,223492.1863103807
pm10_nowcast_lag_1h,221396.5170008093
co_ppm_8hr_avg_lag_1h,43866.51808567345
no2_ppb_lag_1h,18218.687528535724
co_ppm_8hr_avg,15944.725374758244
pm10_nowcast_ma_6h,15628.609544545412
no2_ppb_ma_6h,14632.769043311477
hour_sin,14479.886419400573
season,6602.5846773386
hour,4464.554122924805
hour_cos,3556.191967844963
day_of_week_cos,2065.860907688737
day_of_week_sin,1412.445894509554
is_rush_hour,128.29640007019043
is_weekend,22.509690046310425
