feature,importance
pm2_5_nowcast_lag_1h,0.37775958
pm2_5_nowcast,0.34930128
pm2_5_nowcast_ma_6h,0.16002315
pm10_nowcast,0.08727102
traffic_index,0.015021261
pm2_5_pm10_ratio,0.0047992496
pm10_nowcast_lag_1h,0.001451061
no2_ppb,0.0010391786
so2_ppb,0.0007564326
co_ppm_8hr_avg,0.00051100116
no2_ppb_lag_1h,0.00033534673
hour,0.00032586575
co_ppm_8hr_avg_lag_1h,0.000282736
hour_cos,0.00019405226
season,0.00018621833
hour_sin,0.00018092725
is_weekend,0.00012703554
no2_ppb_ma_6h,0.00011001822
day_of_week_sin,0.00010882501
day_of_week_cos,9.3552735e-05
pm10_nowcast_ma_6h,7.176889e-05
is_rush_hour,5.036684e-05
