pm2_5_nowcast,pm10_nowcast,co_ppm_8hr_avg,no2_ppb,so2_ppb,pm2_5_pm10_ratio,traffic_index,hour,is_rush_hour,is_weekend,season,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos,pm2_5_nowcast_lag_1h,pm10_nowcast_lag_1h,co_ppm_8hr_avg_lag_1h,no2_ppb_lag_1h,pm2_5_nowcast_ma_6h,pm10_nowcast_ma_6h,no2_ppb_ma_6h
41.32035,2.1174874,-0.020268042,1.0832587,0.25737622,0.5462439,0.32756555,-0.005132179,0.04500361,-0.0022543212,-0.00044437006,0.01861603,0.014003856,0.00023698046,0.025424913,15.550613,0.06274716,-0.0950635,0.0054230173,4.2228594,0.029248565,-0.046627622
69.449036,10.075378,-0.3109605,0.67735165,0.27215075,-0.0039126,0.7218445,-0.019740421,0.008552633,-0.0034029582,0.021268802,0.034034,0.08206833,-0.016234376,0.002297522,23.803543,0.19636603,-0.011346375,-0.014294691,5.2023015,0.008106899,0.15681715
88.98271,20.399124,-0.03403059,0.9133647,0.1413578,-0.42844498,1.2204559,0.07180768,-0.016679145,-0.011974271,-0.002082979,0.23496641,0.016486358,-0.14376518,-0.020375043,27.07445,0.34475148,-0.058154766,-0.14807808,6.0559464,0.03403491,-0.12510464
99.33296,21.957148,0.03999678,0.5809842,0.28910872,-2.0127583,1.0170143,-0.08542577,-0.0030992625,0.035671033,0.0024942292,0.029958447,0.023657242,-0.12596837,-0.017488526,30.158411,0.36366782,-0.07575687,-0.13010709,5.726652,-0.042813152,-0.053408835
54.347046,6.175072,-0.13750286,0.2664918,0.26244208,-2.2245271,-0.9652087,0.07682714,-0.0060222684,0.023573004,-0.0058313715,0.01174415,-0.090056576,0.025925228,0.027762013,27.261168,0.06879353,-0.10337439,-0.4476207,4.5609546,-0.008799662,-0.17728628
30.88149,-1.6837602,-0.059076063,0.21241954,0.21342283,-1.6104826,-0.88326573,-0.21145488,-0.0069753705,0.0020349869,-0.005072235,-0.012085559,-0.0902548,0.00055724086,0.009589933,19.536812,0.16820055,-0.24942963,0.031746764,3.9816487,-0.035172302,-0.12765478
22.13469,-4.594709,-0.19989069,0.322692,0.26002985,-1.4409295,-0.5828212,-0.030278808,-0.005745855,0.0016521879,-0.00785674,0.00078876934,-0.1039588,-0.0045858175,0.029075611,16.445732,0.033779696,-0.072339796,-0.024158074,3.6770298,-0.03279296,-0.17513034
15.820264,-4.9613395,-0.06202472,0.30788478,0.31194052,-1.4817084,-0.18031721,-0.029843606,-0.0027281316,0.014751142,-0.008770931,0.0046879263,-0.002733428,0.0022905697,0.029960094,12.678444,0.030584812,-0.15010858,-0.035271887,3.5816355,-0.026137665,-0.16073443
12.122088,-5.7276454,-0.21829656,0.5258189,0.2412241,-1.224281,-0.18207297,-0.03276614,-0.0025780443,0.0021038256,-0.007737938,-0.08756374,0.019858336,0.0016573179,0.022451572,10.787951,0.029429894,-0.04984843,-0.05027576,3.467095,-0.030792646,-0.16538309
9.917341,-5.406013,-0.24741468,0.4411362,0.24930322,-1.1154271,-0.15588148,-0.04432809,0.007588541,0.0006009824,-0.009423242,-0.124914855,0.009907459,0.0021662985,0.016371567,9.497181,0.04885726,-0.11847459,-0.07254643,3.4853175,-0.04047247,-0.102332495
9.193123,-5.2618484,-0.29395273,0.547341,0.2102869,-1.1162398,-0.15365134,-0.040053315,0.009175115,-0.0012772933,-0.013320809,-0.13379815,0.009931987,-0.00077476975,0.010024551,8.903608,0.086929455,-0.1645357,-0.06897824,3.4455736,0.050194032,-0.08898397
9.927796,-5.089521,-0.06724222,0.9644421,0.17204969,-1.1847852,-0.16148995,-0.029416233,0.009165034,-0.00025149088,-0.0075733135,-0.10547022,0.018644515,-0.0044054827,0.0049938806,9.069896,0.09305106,-0.16840625,-0.07855279,3.4822328,0.067522466,-0.075867265
11.3085785,-4.820483,0.0018569275,0.49426726,0.24678735,-1.3633573,-0.15660182,0.058676306,0.007320371,-0.00019513357,-0.0071189087,-0.09690658,0.03367188,0.0045027295,0.0056909206,9.332192,0.052565083,-0.08551478,-0.053267702,3.4843364,0.046525992,-0.07917346
12.082714,-4.6167274,-0.013878829,0.37182468,0.3363753,-1.3607529,-0.172316,0.08946863,0.005924106,9.055151e-05,-0.004290182,-0.0064433585,0.036131036,0.0009706009,0.004968973,9.310686,0.0784987,-0.090054184,-0.030636411,3.443441,0.051892277,-0.1382432
12.15663,-4.386394,-0.018724222,0.19158567,0.2955517,-1.2858899,-0.22971274,0.11160266,0.007409554,-0.0006914872,-0.005142554,0.0066040056,0.034798555,0.0033667204,0.010476139,9.5297,0.025027165,-0.08654332,-0.056635838,3.6244266,0.04884579,-0.15710784
13.08065,-4.222236,-0.034358617,0.13635348,0.3508618,-1.3535312,-0.22501482,0.13521689,-0.0055220667,-0.0007793823,-0.0059635523,0.005813243,0.037232693,0.0029528183,0.006612015,9.923087,0.052657872,-0.062232863,-0.03270298,3.642008,0.045027766,-0.17506401
12.27012,-4.297438,0.015385697,0.13472119,0.39165545,-1.3291883,-0.23374654,-0.011628928,-0.005995403,0.0013883611,-0.0036073532,0.0047839265,0.037793722,-0.00866527,0.0029883867,10.133197,0.027624523,-0.09224985,-0.005308358,3.713774,0.048285935,-0.14220284
10.497918,-4.705812,-0.025041636,-0.022482058,0.34329447,-1.4787779,-0.2193347,-0.029830342,-0.0030710485,0.0010036955,-0.008816496,-0.005669434,0.04277378,-0.0030516104,0.00020491771,9.917493,0.06587017,-0.095655955,-0.0008528566,3.6523776,0.05789294,-0.08502302
8.003005,-5.43671,0.0023003968,-0.3026596,0.24771695,-1.483927,-0.3157636,-0.027268808,-0.0032932945,-0.008612832,-0.015496763,0.0069793286,0.035160977,-0.008422529,0.0020042767,9.734835,-0.0074718427,-0.13234319,0.006826934,3.6216412,0.07272032,-0.010770434
6.9385204,-6.328717,-0.04273654,-0.35577285,0.2619346,-1.501221,-0.31526932,-0.013598563,-0.0014009747,-0.01706207,-0.015629109,0.011928038,0.04729077,-0.0059061367,-0.009897047,8.048144,0.07996448,-0.1530086,0.053422485,3.7508936,0.054333013,-0.010753368
-2.8668625,-7.4773626,-0.05439076,-0.50769275,0.3147297,-1.7045434,-0.34020492,-0.012371831,-0.009536054,-0.0073340526,-0.007243798,-0.0062752115,0.029584251,-0.0028948858,-0.01411195,7.1443915,0.00013792775,-0.12661628,0.10493535,3.4549181,0.041883904,-0.0031372223
-8.8898735,-5.7006927,0.08312047,-0.44453707,0.27215448,-1.0098894,-0.3227649,-0.0037439505,-0.00056960515,-0.0008948177,-0.0022488418,0.06472051,8.2852406e-05,-0.0017996234,-0.00660288,1.738936,0.046863414,-0.25000274,0.15559621,3.2815225,0.020750154,0.069499046
-11.829771,-7.0895047,0.015486683,-0.79781795,0.3433413,-0.8983487,-0.32991982,0.07882475,-0.027193405,-0.011267582,-0.015279894,0.030466098,0.014403965,0.0028273484,3.1979984e-05,-0.73091304,0.14579503,0.024311038,0.12779726,3.2099183,-0.0011116852,0.24847537
-5.288152,-4.6677394,0.079173565,-0.5039059,0.5334905,0.1875539,-0.30737397,-0.0044589615,0.017908296,-0.0006593907,-0.013923593,0.08030406,0.029763235,-0.00053037266,-0.007879784,-0.37295955,0.19158694,0.011899243,0.04650245,3.6762178,0.030591188,0.1442799
