feature,importance
pm2_5_nowcast,0.9985072858561564
pm10_nowcast,0.0008606367756404749
pm2_5_pm10_ratio,0.00022048785873271664
pm10_nowcast_lag_1h,9.323436892190771e-05
co_ppm_8hr_avg_lag_1h,4.776771104983489e-05
traffic_index,4.470675718912001e-05
pm10_nowcast_ma_6h,4.3097738741014946e-05
co_ppm_8hr_avg,4.2236251678009935e-05
no2_ppb,4.068087232482202e-05
no2_ppb_lag_1h,3.2561405978217836e-05
so2_ppb,2.5648974899254548e-05
no2_ppb_ma_6h,9.513928824555998e-06
pm2_5_nowcast_lag_1h,8.78895529718043e-06
hour_cos,6.526581533111045e-06
hour_sin,4.235125300288072e-06
pm2_5_nowcast_ma_6h,3.895691325008175e-06
day_of_week_sin,2.7322674015742526e-06
hour,2.716950807448733e-06
day_of_week_cos,1.7018395160854418e-06
season,1.1672181167243397e-06
is_rush_hour,2.882640984765604e-07
is_weekend,8.860646761345353e-08
